path	label	predict	error_bit
ae_data/G_A/[0.15, 0.015]/0.png	1110001111101011101101100111010101011001110011011111110111000010001111110010010100111111110001111111	1110000010001001101101010011010000010101001011000000011111101001001010000000111000111100000001100010	42
ae_data/G_A/[0.15, 0.015]/1.png	1101011110011011110111110111110100110000101001000011101010011011000110011000000000000000010111111001	0110110001001100010111100010000111001000001101001011101110001001011111011100000101111001110001011000	44
ae_data/G_A/[0.15, 0.015]/2.png	1010100010000001010011011111110001111000111110000001110101100011011010110000101011100000011011110011	1000010000110100100100011000110000101001111010010110101000100011101001010101100010000100011010010000	43
ae_data/G_A/[0.15, 0.015]/3.png	0000011001100111000101001000011101010000011001011001110101111100001011010110110000001011110110001001	0110000110001011001100000001001111010001001101100000001110111010111110010100011000111101010101011111	47
ae_data/G_A/[0.15, 0.015]/4.png	1101001101111011001111100000100111001010111101001010011110000001111110100101000001010101110110111100	1110010000101000111111011110100010110110110100101101000000000001111100100110001000100111100100101011	46
ae_data/G_A/[0.15, 0.015]/5.png	0010001100110111001001010101011101110011101010010001111010100000100110111000000010111101110110011101	0001011000100111001000010110110111101100100100010000011110011000001111110101101001011001100011101100	43
ae_data/G_A/[0.15, 0.015]/6.png	1110001000011111111100010100110100010001001110010111100011011011110011111101100111010110010011111001	0000001001011100001000001010100000001101101000011100110100001101011101101101001011010010010000100011	45
ae_data/G_A/[0.15, 0.015]/7.png	1110100111011000111011001110111010000110010110111100011010001110001000110010101000011111001011011100	1010011111110001111110000001000110110011110100100010110010111100000000110011100100110111011010010001	43
ae_data/G_A/[0.15, 0.015]/8.png	1001010001101010111101010000100110000101000111011111010100001111010010101001000100100101000111010101	0101010000100000000001011110100111000111111010000111100011001001011111110110100000100000110001010011	46
ae_data/G_A/[0.15, 0.015]/9.png	0011010010100011000011100100110100111111001011111111111010000011100101011000010010000001000011000010	0111010011110001100111111101111111111101000101101100100010111110010101000101101110001001111001001010	42
ae_data/G_A/[0.15, 0.015]/10.png	1010011011011000011010010011101100100100101100011000101001010111101100110011000101000011010101010011	1101111011011100111111110110001100101000010110101001110001001010101100001101101100110101000101001110	44
ae_data/G_A/[0.15, 0.015]/11.png	0010101110111110011111011101110111011011100001111111100001000111101100101001001011111010000011011110	0110100100101001010110100101110110010011100001001110110111000100101101110100100100000101000001010011	42
ae_data/G_A/[0.15, 0.015]/12.png	1110011000100101101001001100000011011100000001011111001110011011110110111011000011001100010000001001	1011011001101100111000011101000111001111110110110101100111010011111010110100101001100100110011100011	42
ae_data/G_A/[0.15, 0.015]/13.png	1101000000110011001010011011110111011010000011011010111010001011000101111111100000110010110000110111	1001100100110011101010110000000010010001100101000110011011101001101010101101110000001111001110111011	45
