idx	label	predict	radius	correct	time
0	1001110011101011111110010011010011100011111100010110100001110010001011110101110000110010000100101101	1	0.32	1	0:00:04.885707
1	0011111110001110001000001001110101010010110000100011010111011001010110000011001100101010100110110011	1	0.32	1	0:00:00.677453
2	1111001000000011010011101011110011111111110001101011110001011010011010010111001101101110101010010001	1	0.32	1	0:00:00.728127
3	1101001010001101100110101000111010110100100110001011100010101001011001100111011010000100000001110100	1	0.32	1	0:00:00.679734
4	1100011110110010000101000110010000111101011001000000001101100111111010001001100100101110011000100010	1	0.32	1	0:00:00.694579
5	0101011100100100111011101000110000111101111001000011110111010110110101101101100101000101110010011001	1	0.32	1	0:00:00.686034
6	0100101001100001101011111001011011001000010001010001001001001111010010111011100000100010100111100111	1	0.32	1	0:00:00.674498
7	1011111010101111011010000001010011111011001101011101111101101000110110110111100010000010010100101110	1	0.32	1	0:00:00.686876
8	0111100001111101001111001110101100101110100000111100001000101100011001011001110111100110110001111110	1	0.32	1	0:00:00.676090
9	1110110011010111011011111011110100100001101011110000011101110100001010010111000101101101011011000001	1	0.32	1	0:00:00.676004
10	1111100100001000000001011110101111000001010000110010001111001001011011110001001000111101011010110100	1	0.32	1	0:00:00.692727
11	0110000000100001010001001100111011010001110101001111100101011001001001000111111110110010111001100010	1	0.32	1	0:00:00.667293
12	1000110000010101101000111100111101011001000110110001001001001100000000011000101111011000000000000001	1	0.32	1	0:00:00.694426
13	0101100010110100101111000111111110111000001100001101110010110110111100110000011110011110001010110010	1	0.32	1	0:00:00.667210
14	1000001011101101101111110111000010101101011111110011100110101110100010001000001101011010101110100000	1	0.32	1	0:00:00.679109
15	1101110110110111111100101001010001001110111000111111101101111111101110101100011111110110011110101101	1	0.32	1	0:00:00.663561
16	0000111000110111001010001010111110110000011001010001001001100001100100110010111100101110100000001100	1	0.32	1	0:00:00.667795
17	0000111000111001111101010111001110111010001000110100011001000110101100111101100100110111000100001101	1	0.32	1	0:00:00.680221
18	1011011110111000110101100100000110101001111101101000000101001001110011100000101100010111001010100111	1	0.32	1	0:00:00.677869
19	1010000110010110010010000101110000110001011111101001001011101101010111000000011011000110101010010010	1	0.32	1	0:00:00.679200
20	1111111110001011110110000011011010000000110001001011101000101010110011111000100010001001000001000001	1	0.32	1	0:00:00.686552
21	1011010111110011000111011101010010010000001101111111101101110101010100001100000110001001110100000100	1	0.32	1	0:00:00.685350
22	0100110100111010110100011100110010100011100000111110100010001110011010111001011101101001000110100111	1	0.32	1	0:00:00.675075
23	1010111010010010000101100000000101101111010111011001101110111010000111001011000111110111101001001000	1	0.32	1	0:00:00.644265
24	1010101110010011000111001100111100001011110011000100000001010000010101100011010000001011010111000100	1	0.32	1	0:00:00.682770
25	0110110111011101110001011000100100001000110110000010100110101001101010010000001011001101011111110001	1	0.32	1	0:00:00.679445
26	1000000101000000010110111011111001100001011101110101000011011101101110101011001011011100100101110111	1	0.32	1	0:00:00.677938
27	1110101011100110100011110111001011111111010111111110110010100101001010100001001111000010100011110110	1	0.32	1	0:00:00.687001
28	1001111111111000000111000000111010100111111111011000111010100001101110010100101010110000110010001110	1	0.32	1	0:00:00.679994
29	0000011000000000000100000001111000011000010010000001001110101111000110010001010010001011111000111101	1	0.32	1	0:00:00.688595
30	1001100101100010000001101100000111110111011111101100111110110010101101000101100000010010101110110011	1	0.32	1	0:00:00.666651
31	0101010011101100100000011011110101010010101101010100111110011001100100111101011010000010100101111110	1	0.32	1	0:00:00.681280
32	0010010100011010111111010111001011000110111100100101100011101001000001011110111011111110101010101010	1	0.32	1	0:00:00.667890
33	0101001000011101100011001001101110011000111011111000000011111110001000101111000001100111010000110001	1	0.32	1	0:00:00.667279
34	1010001000001111011101000000101000001111001000111111001111111101111010010000000010011110000010011101	1	0.32	1	0:00:00.681700
35	1110010001111110011101000111001000101001111011001100110110100110111110110100001101011010010010101111	1	0.32	1	0:00:00.680967
36	1101000001010010000111001111100011111100101011100101000110110110101100011110101001010010111001101011	1	0.32	1	0:00:00.683118
37	1001000100011100111101011110011011110110010100101101110010010011000011100101101111111001100011100000	1	0.32	1	0:00:00.693694
38	1001101000000101001010011000011011110001000110000001101000110100111010011100000101111100011110001111	1	0.32	1	0:00:00.689620
39	0110100000011010110111001011101111110110001111011111110101011110110001111001001011101111001011010000	1	0.32	1	0:00:00.714206
40	1110001010110000000001111110011101111000000111010101000000111100010110010011011100100101001100111011	1	0.32	1	0:00:00.707874
41	0110100011100111001110111000111000111011101111100000000111101001011001111011000000011101100111110111	1	0.32	1	0:00:00.706757
42	0110001011100101100111101001111101000010111001001000010110100001000010000110100111110011011011011101	1	0.32	1	0:00:00.705629
43	1100101100001011100111101001101011111101000011001100100000011011000100110110111010111001000111110010	1	0.32	1	0:00:00.697483
44	0110111000001000000111000110110001010100111001000000001001101101001101001101011111101000101110110100	1	0.32	1	0:00:00.729071
45	0010110101111100110101001000010111010111010101110001001101110011001111101000010001010111110100110011	1	0.32	1	0:00:00.698934
46	0001000101101110110010110101011011101000011101010100111000010010101011000000110111110100101000100010	1	0.32	1	0:00:00.700229
47	0100010100000000110110010011100101101101001001110110110111100100111110110101101010110110101010011000	1	0.32	1	0:00:00.712505
48	0001001111111010010110011110011110110111111000101001101000000000100101101001100000101100101100110110	1	0.32	1	0:00:00.716236
49	1110010101011011001110101011011110110100001010011111000010101000001001110101000101001110110000111010	1	0.32	1	0:00:00.738353
50	1111101101011011010101110010000011111011001010111000011100100101011001100100111010001000110111100111	1	0.32	1	0:00:00.739531
