idx	label	predict	radius	correct	time
0	1001110011101011111110010011010011100011111100010110100001110010001011110101110000110010000100101101	1	0.0917	1	0:00:08.672518
1	1001011100111100010111110011010000001001100101101011000011001110000101000100111001011001110000111111	1	0.096	1	0:00:03.952616
2	1010001101110100110101111100000010100001001101011101010000101001100011011011010111110011100011100111	1	0.096	1	0:00:04.074037
3	0111111110110001110001010111110010001101111010100100110110011010100001001111011110110100011000110010	1	0.0934	1	0:00:03.793450
4	0110000011110011011010000011110011101010100001000011110110011000010111100011011110011011101101111011	1	0.0917	1	0:00:03.522294
5	1001000100011001111010110110010011000000001100101011100000000101010011011100000100110010000000000110	1	0.0892	1	0:00:03.437986
6	1001111110001011011111110111001011100010010001110001000111100011010011100010000100000001000000010011	1	0.0934	1	0:00:03.331904
7	0101000100110011110111100110101001101101011010001100000101111011110011101011000010010111011001101110	1	0.0917	1	0:00:02.660813
8	0010101111101111010001000011110110101011110010110110100110011011010101011001111110010001100001010010	1	0.096	1	0:00:02.923255
9	1100010000110110011110111000100101101000010101100101101010100101011101010111000101111100001001010101	1	0.096	1	0:00:02.627395
10	1111111000011111011111000000001000010101010110101111110011001110111110001110100100101010111001100010	1	0.0917	1	0:00:02.616063
11	1100101000001100001011011001011011000001100110000010000100101101111100000101101110100001101101110000	1	0.096	1	0:00:03.816239
12	0001010000101001011001010010100110000001111110010100111111110001001011100110101110011110011001100010	1	0.096	1	0:00:04.877115
13	1000000011111110111110100111011010011101111010100011100100110001110010010100010001011110111111110110	1	0.096	1	0:00:05.076273
14	0100100100010011111001100110111001111000001100110111010101100110111111111000100010001110100110110001	1	0.0892	1	0:00:04.519017
15	1100111000011101100100001111100110011011010000100110101010101100010011110001000101000000101010110101	1	0.096	1	0:00:03.472005
16	0010111000100111001110111011000001110001101001110101111111100010111010011011010111110110001010101001	1	0.0934	1	0:00:03.623905
17	1110010101011011000011001111100010001111100111011110100100110101010011001010110001111101101011001011	1	0.0934	1	0:00:03.545188
18	0110011001111010001011000011101011111100101100100001111101010000110110110110101110101010011110000101	1	0.0934	1	0:00:03.148598
19	0100100001110001111100110000011100010111111100111001011011011011001111010101110010000010100110011001	1	0.0892	1	0:00:03.522677
20	0110001001000101001011100000101010110111000011110100001111000110010111111101101111111111110010101000	1	0.0934	1	0:00:03.360328
21	1001000101011100000000001001100101011100000100100101001000001101101100010100110000111111010000000000	1	0.0934	1	0:00:03.302101
22	1101001101010000010011000100000100011100100111100000110101011010111011001001101011100010110111010001	1	0.0917	1	0:00:03.677466
23	0101110110100010000100111100100101111000011011101011111101101000101010000001110101001100000000101001	1	0.0917	1	0:00:03.543034
24	0101110001001010000001010001101000111111111101111110010100001100100110011000111011100010010001000000	1	0.0934	1	0:00:03.918708
25	0110100001111011100011001110100010100111100011110010000100000000100000111101001000010100001100111111	1	0.096	1	0:00:04.785275
26	0001100000000000101001010101101001111100110110101001100110111101011000110011001100101101000011001000	1	0.096	1	0:00:03.402363
27	1100110110011010011011010010101001111010101111100111000110111100111110110111111101100010001010101011	1	0.096	1	0:00:04.188331
28	1011101100011010001001100011101001101001010110100100011010111100011101100001010001101010001111101100	1	0.0934	1	0:00:04.053975
29	0010010111010000110000011101010001111011110011101001001100111101110001111110100111010001011110010100	1	0.0917	1	0:00:03.786633
30	1011111101110010111110010101001000100100001000010010001001100001011101110111111000001110001001110001	1	0.0934	1	0:00:03.886571
31	0010100110111000101011000110010000101010010110000111011110011011011000001100011110110010111110101011	1	0.0903	1	0:00:03.589872
32	1000100101010001001001111111110111101011001001101010001110110110011110111110011101011110001011010110	1	0.096	1	0:00:03.622824
33	1001111011011000111100101010000011101101101010010111100001110011100001111111110010111000000101010000	1	0.0917	1	0:00:03.612159
34	1111110000110111000011000101000001101001010011011010111001111100001100001110011100111001100011101011	1	0.096	1	0:00:03.133323
35	0101100110011111010111100100001001110001100010000000010010111000111110010111011100100001111110011111	1	0.0903	1	0:00:03.442693
36	1000001111111010111100010000010101111001001001011001110111100001100111011111001001111001110001101110	1	0.0882	1	0:00:03.340847
37	1100010000101000110111000101101000111111000111100011100101101111111110100101001101111010000000101111	1	0.096	1	0:00:03.317320
38	0011010001100010111001001010100110111111001101010001101001110000101110101000010011001001010001011000	1	0.0917	1	0:00:04.024818
39	0011010011010111000010010000001000110011011100010001101101110100011111011111011101000011010000010010	1	0.096	1	0:00:03.833855
40	0111100110110001010100000011011010111010000100111010000110010100111111110110111100110000011110101100	1	0.096	1	0:00:04.075481
41	0001000101110100000100001010001101010001000110111011011110100010001101111101100000100111001100000111	1	0.096	1	0:00:03.834259
42	1000000111001111011100010010101000110001101110101101001111100000111010110100111111101001010101001101	1	0.0934	1	0:00:05.073817
43	0110000110001000010010110010101010110111011110000111110111110010011101101110100101100001110000100100	1	0.096	1	0:00:04.104934
44	1010010011000100000110100001100101010011110110110110110011001000110100010010110110000011011000000111	1	0.0917	1	0:00:03.414367
45	1000001000110011110110100100111111000000011001101111010000010011011101001000111010101100001110010011	1	0.0892	1	0:00:03.368451
46	0010110111111100001010110100000110011101001101001010001100010101011101110111101000011010001101001110	1	0.096	1	0:00:03.309082
47	0110111101110000101110111111110011001000101110100011110011011001011010110001000001101011011011001101	1	0.0917	1	0:00:03.080425
48	1101100000110110111011111010010111110000101010111100011000011001000000010101111101100011101100000111	1	0.096	1	0:00:03.538574
