idx	label	predict	radius	correct	time
0	0101011100001111011010100001101011010011001110001110111001100011101100011011010111011000011110000011	1	0.114	1	0:01:24.123643
1	1101100101001110000010100000110001001101011110110001101010010001010001001100100101111000001111111101	1	0.114	1	0:01:21.212288
2	0001110000111000111101010101000001010100101110000010011011100000111000111101101001111111100111000001	1	0.114	1	0:01:23.006228
3	0111010010100110110001101110010001001111000000110111100110111010111110000011001010101111110101010101	1	0.114	1	0:01:25.912770
4	0101100100101101110101101100011000100110001010010101000110011101011100100101110100001110100110010101	1	0.114	1	0:01:23.842708
5	1001001001101010011011100101000100100101100111011111010011011101110111111001110001110101101011100001	1	0.114	1	0:01:22.952228
6	1110011111010011101000010000100110010100110000001101011111110101010110001111111110110001011100100101	1	0.114	1	0:01:23.503165
7	1001110010111101100101001111010101100010011010001101111101011100110111010110010001101001010010110010	1	0.114	1	0:01:23.712282
8	0111101110010110111111001100111101001101100000010111000000011110010010100010101111010011010001100010	1	0.114	1	0:01:23.241524
9	1111100101101001000001000010000010011100011100101011011100111011100100010101100000001100101011010010	1	0.114	1	0:01:23.727215
10	1100011001001001101111100100011100100101101000010110001101011111100111101000001111101000001110110111	1	0.114	1	0:01:24.014219
11	0111011011011110100100100110011111101001001111001011100110100001111111100010011011100111110000001001	1	0.114	1	0:01:23.924487
12	1100110101001011010000111110001010100101001110101111010001110100010100110111110001011011101001100011	1	0.114	1	0:01:24.000726
13	1100010101111100001001010011110011010010100000110100100011000011100001011011111001111100001101000110	1	0.114	1	0:01:24.333543
14	0011000110000001111111100000100011111111001011011011010111011110111100001010101000010110110110011100	1	0.114	1	0:01:24.266616
15	0101100000011001011100001011101110100010000101001101111000101011001101000000000010101011101010100101	1	0.114	1	0:01:24.001692
16	1000101011000000100011100101010000111101110110011001000101001111110010010011010000000000101010010100	1	0.114	1	0:01:25.147987
17	1110111111100010110101000000111010100000111000010000010111000111011111110111100110111100100000110100	1	0.114	1	0:01:24.185042
18	0100010101110000001110111100010011000010011111110010000100100000110100000100110000010100011111100001	1	0.114	1	0:01:24.087384
19	0110111010111010001110101100010100010000100001100010001111111000110010001110101011100111101100110111	1	0.114	1	0:01:24.677290
20	1100001101011101101010101100110111101011001010100101100100000010110100101110000101011011111010110111	1	0.114	1	0:01:24.694061
21	0101001111101110111000011100100001001001100010000010010010111111010111011001000110010100111001010111	1	0.114	1	0:01:23.675081
22	1001010000110111110100101000101010001111110000100111100100010100110101000010010111110100011001011010	1	0.114	1	0:01:25.221403
23	1011000001000110011100100011100001100100010111011010010011101101101010011010111011001111011111101111	1	0.114	1	0:01:23.562674
24	0011001000000000010001101101100101110101101101110100111010101011001100011011101001000011011111010010	1	0.114	1	0:01:24.686501
25	1010011010100001101000101001000010110110111001111101011011000010000110101110011111101101110000010101	1	0.114	1	0:01:23.567508
26	0100101010111101101111011101111101001011101011111010111110000110000110110110000111000110001110010101	1	0.114	1	0:01:24.230161
27	1011100110101010010011001000000111010101111000101001111110101111000010000100010111000000010100100111	1	0.114	1	0:01:24.595898
28	1100110011001000111111110000001001101000001110110000001110111010100000111110000101010110010100001011	1	0.114	1	0:01:23.833644
29	0110010100100000100010011111011111110010100001110101110110011010101110001001010011101011110100100000	1	0.114	1	0:01:23.676081
30	0000101100000100001111001001001000010110110000110011001010011010111101011101011110000110000001010001	1	0.114	1	0:01:23.325189
31	1011100010101001101011111001111000111000000111000000011100100101000110011100111110001010010101011011	1	0.114	1	0:01:23.926258
32	1111101001011100010000010111101111100001110001010011001101010100001011001101101011001010101100101101	1	0.114	1	0:01:24.125610
33	0001111001010100111111110101000100100110001111001100100111110111000111011000001001111110101111000111	1	0.114	1	0:01:23.813997
34	1000010110011011101100000011110001000111000010110101001010100111011110111011111101010110111101111001	1	0.114	1	0:01:24.350530
35	0011111000001000110010000000111001100010110001011101000100101100101000011110111101010110000011111000	1	0.114	1	0:01:24.069965
36	1010111101011010100110001111111100000001101100111110110110010101110001110000100010111111111010010001	1	0.114	1	0:01:25.332513
37	0001010110110000110011101111100101000010110011110101101011101000001010001011110110111101111100001010	1	0.114	1	0:01:24.188345
38	0010110000000110100011111000000110100111001001100010100010100001101001001100100101111011011001010101	1	0.114	1	0:01:23.568860
39	0111111111001110101101101000111001100011100100110100100100110101111011001111001100101011100000001011	1	0.114	1	0:01:23.327073
40	0000010001111000011100011111101010110010110000110010011101011101001101100110010101100000000001111110	1	0.114	1	0:01:23.354821
41	1101100111010111101000010100011011100110110010111000110001001101111100101110011010010010110000110011	1	0.114	1	0:01:23.286492
42	0110010011000000111000110001001110011000100001100011000101110100111101001011110000101111011000000001	1	0.114	1	0:01:23.358179
43	1011000100000110000001010011001101100001110011001101001111111110101100010110001010101000000000010010	1	0.114	1	0:01:23.117536
44	0100110111000110000010100111011001111010000000001101000011111100110100001111011110000111110101111111	1	0.114	1	0:01:23.472937
45	0100010100011011000001101010101010000011011001010101001010101110010101011001101010101001110011001001	1	0.114	1	0:01:24.164091
46	1101100001111100011101101001101101001010100111101100111001011100110111101110100100100101011000011101	1	0.114	1	0:01:23.481831
47	0100100100110110010011101111011010000000100011010101101010001001001000000011111001000001011001110000	1	0.114	1	0:01:23.026620
48	0111010111110010001101000010101100011011100000010011110000100111100001101100010011011010100010010001	1	0.114	1	0:01:24.650998
49	1000000110101010101000110100111110111001010001111010011101101110111011110001001101100111001111001101	1	0.114	1	0:01:23.371963
50	0000111101111101101001110100000101000011110111110001010100001011101010100010101110000100110110000111	1	0.114	1	0:01:23.405020
51	1000101110110010011101110111011011011111101110011011100001000101100111011111001011110001001100011101	1	0.114	1	0:01:23.496488
52	0011101000010011011001110011101010001110000011110111001000111111010111101110000010111000101110001110	1	0.114	1	0:01:23.907285
53	1100111111011100000000110011111011101100001111111010001010000111111011110010001001000100001101110101	1	0.114	1	0:01:23.287451
54	1011100111101100010000111100110001101111110110111101101011001101010011101011100110110111000010000000	1	0.114	1	0:01:23.375526
55	1110000101111110110111001101000101100011110000011010101100001111000100010100111011000101100110111100	1	0.114	1	0:01:24.860820
56	0000000100100101100010101110111111110000100010110010100111001111011001000101001101100111100001101010	1	0.114	1	0:01:23.426708
57	0111010010100100001110000001001001100111010110011010001011100111100101110010010010000010000100101110	1	0.114	1	0:01:23.952557
58	0111110001001011011101010111011111111111010000011000101001001110101111111111110110111000000000101100	1	0.114	1	0:01:22.777870
59	1101111100011001000101011101110111111111101010110011110111101000010001110010110100000010000010111111	1	0.114	1	0:01:23.034135
60	0010000011101011100000010111001011111001001101101100011111001001011110011100111011110111101001011100	1	0.114	1	0:01:23.252305
61	1001100100011000101110101110001100010110100110001101001111100011000011000101011011111001001101110010	1	0.114	1	0:01:22.785697
62	0010000111111101111111010000100000101011000101010001111010010100100101001110111100110010010011000010	1	0.114	1	0:01:23.353187
63	1011000110100010001111111100101101110001000001110000011110111001001100000110010010000111001010111011	1	0.114	1	0:01:22.634063
64	0000110101011011110011111000100110011001110000100100001011110001110110011101101111011101100111000101	1	0.114	1	0:01:23.215237
65	0110111110000110010011110001101110100011111010011001110001111010001001000110110110110110110110001110	1	0.114	1	0:01:23.262312
66	0010100111100100001111001011111010101111010011010100011100010001010111101110111110110011000110100000	1	0.114	1	0:01:23.085234
67	1011100011100010110111110000001010001011001010101110000010110001111000100111011000111101111101100110	1	0.114	1	0:01:23.224477
68	1010000010001010010101001001101001111111111010011110011110111011100000011101111011010001100000110000	1	0.114	1	0:01:22.751216
69	1101100111111001111110001000100111100010000010111001101110101110000000001111100111011100110100011011	1	0.114	1	0:01:23.009360
70	0101001001111111001110011101111011111000000010000001101010110001111100101010110100111100010100111111	1	0.114	1	0:01:23.037185
71	0100011010100110001110000101111000101000000001001101011010001001001101000100001101010110001001001010	1	0.114	1	0:01:23.067966
72	0100111011000111000100000101010001100110100110101100001101101011011110010100000100111011111111100001	1	0.114	1	0:01:23.306575
73	0111100100111110000011111001111010101110111101001001000001000101111111000101000011000010101111111000	1	0.114	1	0:01:22.912833
74	1100111010010010110100101010010111000011011111100011010010110110010111011011010001010001101101011100	1	0.114	1	0:01:23.088105
75	1000111100110001110010000010100111101101000100100000001101100001011011111110001111110010111111000010	1	0.114	1	0:01:23.148376
76	0101010000000101111100010010010100010000010101000010101001111010110010000010110111001001111000101100	1	0.114	1	0:01:22.969080
77	1101000110101110100111101111110100101010110110010100011001011101010001000101101010101101001110110100	1	0.114	1	0:01:23.637023
78	1110011101101101100111000000110110111001001010000000000111110101011010011000001010001110000101001101	1	0.114	1	0:01:23.703343
79	0011001111101110111100111000110010011111011001110011110011011001010000110101100100110101011100111110	1	0.114	1	0:01:23.424571
80	1010101010110011111100010100011001100100101100111101101001111101101101010110111111011000000110101001	1	0.114	1	0:01:23.757311
81	0110001001010111010110100111001001111101001000011001001000000110001001001101001100000101001110001001	1	0.114	1	0:01:23.672929
82	0000011000001100100000100010110011100010011101111010011110000111110010100001001011110001010000000110	1	0.114	1	0:01:23.814678
83	1110000000010100100111100101011110011100101100101110010000110011011000001001111001001100010001101101	1	0.114	1	0:01:24.098614
84	1100100000101010010011010101100110001011101101001001011010000010001101101110011110111101100101010001	1	0.114	1	0:01:23.318602
85	0101101111101001000100101010010111100001010011100010010101101101101101010110111111111110010011110101	1	0.114	1	0:01:23.242728
86	1111110100100110101001011100000010010010000011100100000010001101001001100011001010011100010000001011	1	0.114	1	0:01:23.837499
87	1100010100001101101111000011010010001110110011100001000100101111111100111010111111101001011000010110	1	0.114	1	0:01:23.105503
88	1010010101101001000111101110101110010100011001010011010101011000000110100110100010110000001100000000	1	0.114	1	0:01:23.015623
89	0001011110011000000001101110000010010010011100111010000111010101011111000010101010000111001010100010	1	0.114	1	0:01:22.562466
90	1001011101100001011110010000001001011000111110101000000001011111011001111001000100000101011101011011	1	0.114	1	0:01:23.142136
91	0101011001010010001011111100110001010011111000010001110011100001101111111011101001001101001001011011	1	0.114	1	0:01:23.377105
92	0100010100000111110101011000111010110001100011011111101000010110001001001011111010111001000110111100	1	0.114	1	0:01:23.355272
93	1010001101100111111111111001100000100011110001010010000010010111101110100101011100010011001011111010	1	0.114	1	0:01:23.226499
94	0000110100100111111101001110111000010011000000110000101001111001010111111111001000011001001000011100	1	0.114	1	0:01:23.634508
95	1001011011011000111101100111110010000100011110000111010001110000100110011100001100110001011111000011	1	0.114	1	0:01:23.020494
96	0001010101010111000001011010110101111100000101011000001111001101010010111101111111110111001101100101	1	0.114	1	0:01:23.570243
97	0111110110001000101111001001001100110000111011111010111011001110011011011010111000011010010111101101	1	0.114	1	0:01:22.942770
98	0101000101101000010000011001110001100001010000100011110001011111000101111011111110000100011110100001	1	0.114	1	0:01:22.099654
99	1010001011000001001010101010101100000101010101000101001000001110110011010110010100100111011101110001	1	0.114	1	0:01:22.042291
100	0010111110010010010111010110111001101001100101000010111100000010001011000110011010110111111000011001	1	0.114	1	0:01:23.136290
101	0001011101010011100100001110010011011010010110011100011001100010010111000000000100010001110010000001	1	0.114	1	0:01:23.345135
102	1111010101000100101001001001000100100000011101101001101111111001001100110001110000000000100110010101	1	0.114	1	0:01:23.121527
103	1010010100100000110101001000011011111011111110010110101111100001110111010001101000110011010010011010	1	0.114	1	0:01:23.409350
104	0001111000111111100000101111010101110010100111000100000111001001001111011011100001001001100011001110	1	0.114	1	0:01:24.055644
105	1110000111101000101011110111100110001000100011011110010111001001110111011000011111100010001000000111	1	0.114	1	0:01:23.763598
106	1000001011100101110100001110111111100001001101001100111110001110110001001101111110000111101011001001	1	0.114	1	0:01:23.704130
107	1001111111011011101011110101100010001000000010111011000011111111001101110000100110101101110011110000	1	0.114	1	0:01:23.939683
108	1001011110110111011110001011101101110010101010101111111011111001101000011001110001010110010000100001	1	0.114	1	0:01:23.406227
109	1101110111111011000111111111110000101000100011000010000111100100000001100110111100110011101011001111	1	0.114	1	0:01:21.150651
110	0100000101011011101110110101011110000101011111010101001010000010000011101011011000001010011000111111	1	0.114	1	0:01:22.963886
111	1101110011110010101011001011101111100010010000011000011010111100000011110101110100001110110110100100	1	0.114	1	0:01:23.831992
112	1011100110101110100110011000011111011000111010111010001010010111010110011010001011011000101001111101	1	0.114	1	0:01:24.044762
113	1000100000101000101011100110001101101011001000100000001001000010100011111100110001111101010011010101	1	0.114	1	0:01:23.343028
114	0001000000100111111101100011011110001100110111001101111011100101001011111011101100110110111100111000	1	0.114	1	0:01:23.703142
115	1110110110010001111110010100101100000001110011110011000101100001100100110111100001111101100011001000	1	0.114	1	0:01:23.492114
116	0101011110100111111100011101001100100111101110010000110110011100010010111101111110100010001011011001	1	0.114	1	0:01:23.186183
117	1100111110111100000110111010010000110100010111000111100110110010101110011110111101010110111001100110	1	0.114	1	0:01:23.415903
118	0111100010100101101111110111000100110100110000010010111011010001100001001010100011010010111000100011	1	0.114	1	0:01:23.520772
119	0011001011000011000111100110000000110101111001010111110101001101001111100000100111110101111100110011	1	0.114	1	0:01:23.429323
120	0110000010000101000111111100001001000100010111001111111011111110100110001101101101110011101000010010	1	0.114	1	0:01:21.401274
121	1001010111001010000010100011001001010111100011010010101000011010010001101110000011111110000010111001	1	0.114	1	0:01:22.387277
122	1111111001110000111100001111000101010001100100101000011000001000111110010011000111111010100100000001	1	0.114	1	0:01:23.170964
123	1001111010110011010110111111110100000100011111101101111010101110111111110000000111100000101100111110	1	0.114	1	0:01:22.760408
124	1110111001110111110011101110011000010001010100001010011101011001100111110111011011101100000101001011	1	0.114	1	0:01:23.299774
125	1100101100000110011000000101001010101101100110011001111010100110000110001000010101001101000001001110	1	0.114	1	0:01:24.311508
126	0101110110101100111101000110010010101010011011010110110001100111111101111110111110100110000010100010	1	0.114	1	0:01:23.374943
127	1111011000010101001011010001000011101001000101101111100001010011010000111010111000011000111100111100	1	0.114	1	0:01:23.107773
128	1001001000001110111110001011000000010101001111010010011100111110000100110111111100000100010010110111	1	0.114	1	0:01:21.751801
129	1010001100100111001100110001011011011101011010001111100011110000101000000100111111111101000111100110	1	0.114	1	0:01:22.330328
130	1001100100111000001011011110100100010010110001111110111001101110110110010101001111100101011110000011	1	0.114	1	0:01:23.906685
131	1101000110100011001010011111011000100000001000011000110111100111110100000011011010000010110011110001	1	0.114	1	0:01:23.462272
132	1001010100011000111011001000111111001110100010011110100010011010110110000010010001000000000000010100	1	0.114	1	0:01:24.120363
133	1001101101101010110111010110110001100001110011101010111011011011111011101001000010010001010011000011	1	0.114	1	0:01:23.934688
134	0000100001110101110001111001101100010101111011011111111011101011000100101010101101110110111011011001	1	0.114	1	0:01:23.884037
135	0011001111011111000001010111111001010000010100101111000001101010000001110110101111110010110100000000	1	0.114	1	0:01:24.562848
136	1000110000011110110110001000011110011111101000011000010100011000111101100001101100010111000100011011	1	0.114	1	0:01:24.109962
137	1011000001011000111111101010001000111111100110101010010110111100101110000001001010001000001001100110	1	0.114	1	0:01:24.359744
138	0010010100001110101111101100000101100101000011011011011000110011011101100011010110100101010101011001	1	0.114	1	0:01:22.903139
139	1110110101111000000110100000001110100100111100001010110000001101111010100110101101111011011110001101	1	0.114	1	0:01:21.862588
140	1010110001011111010100010111101101101001101100100101111100000011010001110010101110100000011110110100	1	0.114	1	0:01:23.462363
141	0000100011000000110111110010110010011100000011001100011111010100011111100010000000000010010010111010	1	0.114	1	0:01:24.507772
142	0101110110100001100111101111111100101001011110011101010100110010101001111000011101100010000011011100	1	0.114	1	0:01:24.552471
143	1011001010010110011110100001010110001011001000101101001101000000001011010000111101100111010000110001	1	0.114	1	0:01:24.504819
144	0110101011011000010011101100001010111010110010000010010000101011001010111100000010001111101110100010	1	0.114	1	0:01:23.640440
145	1111101001000100110010101001001001011010011110111110000011000000010001010100001001100100001110010010	1	0.114	1	0:01:21.583111
146	0101100110010000010110010010010111111011011100101101011000011010101100111000110010011000111101010110	1	0.114	1	0:01:24.203576
147	1110101011001011001111111001011001010011000100011011101111101111111110101000010000110011101001000000	1	0.114	1	0:01:24.053039
148	1100111000111000100010100001001010110011100000110011010001101000001001100001101010111011000101010001	1	0.114	1	0:01:24.340505
149	0011101010000011110100101100110011000000000111100111101010110011110101000101100110110010001101010100	1	0.114	1	0:01:24.221929
150	1111010011010111101011110110000010001110100111001001100010011011011111010100111100111110001001000100	1	0.114	1	0:01:23.069709
