idx	label	predict	radius	correct	time
0	0101011100001111011010100001101011010011001110001110111001100011101100011011010111011000011110000011	1	0.0762	1	0:01:19.199525
1	1101100101001110000010100000110001001101011110110001101010010001010001001100100101111000001111111101	1	0.0762	1	0:01:16.744571
2	0001110000111000111101010101000001010100101110000010011011100000111000111101101001111111100111000001	1	0.0762	1	0:01:16.752717
3	0111010010100110110001101110010001001111000000110111100110111010111110000011001010101111110101010101	1	0.0762	1	0:01:18.806455
4	0101100100101101110101101100011000100110001010010101000110011101011100100101110100001110100110010101	1	0.0762	1	0:01:17.284515
5	1001001001101010011011100101000100100101100111011111010011011101110111111001110001110101101011100001	1	0.0762	1	0:01:18.373935
6	1110011111010011101000010000100110010100110000001101011111110101010110001111111110110001011100100101	1	0.0762	1	0:01:17.967561
7	1001110010111101100101001111010101100010011010001101111101011100110111010110010001101001010010110010	1	0.0762	1	0:01:19.193629
8	0111101110010110111111001100111101001101100000010111000000011110010010100010101111010011010001100010	1	0.0762	1	0:01:17.703431
9	1111100101101001000001000010000010011100011100101011011100111011100100010101100000001100101011010010	1	0.0762	1	0:01:18.462120
10	1100011001001001101111100100011100100101101000010110001101011111100111101000001111101000001110110111	1	0.0762	1	0:01:16.778409
11	0111011011011110100100100110011111101001001111001011100110100001111111100010011011100111110000001001	1	0.0762	1	0:01:17.869812
12	1100110101001011010000111110001010100101001110101111010001110100010100110111110001011011101001100011	1	0.0762	1	0:01:18.433644
13	1100010101111100001001010011110011010010100000110100100011000011100001011011111001111100001101000110	1	0.0762	1	0:01:18.574383
14	0011000110000001111111100000100011111111001011011011010111011110111100001010101000010110110110011100	1	0.0762	1	0:01:17.815417
15	0101100000011001011100001011101110100010000101001101111000101011001101000000000010101011101010100101	1	0.0762	1	0:01:18.646688
16	1000101011000000100011100101010000111101110110011001000101001111110010010011010000000000101010010100	1	0.0762	1	0:01:20.694400
17	1110111111100010110101000000111010100000111000010000010111000111011111110111100110111100100000110100	1	0.0762	1	0:01:18.569357
18	0100010101110000001110111100010011000010011111110010000100100000110100000100110000010100011111100001	1	0.0762	1	0:01:20.020224
19	0110111010111010001110101100010100010000100001100010001111111000110010001110101011100111101100110111	1	0.0762	1	0:01:18.171337
20	1100001101011101101010101100110111101011001010100101100100000010110100101110000101011011111010110111	1	0.0762	1	0:01:19.800183
21	0101001111101110111000011100100001001001100010000010010010111111010111011001000110010100111001010111	1	0.0762	1	0:01:17.106881
22	1001010000110111110100101000101010001111110000100111100100010100110101000010010111110100011001011010	1	0.0762	1	0:01:17.155740
23	1011000001000110011100100011100001100100010111011010010011101101101010011010111011001111011111101111	1	0.0762	1	0:01:16.872045
24	0011001000000000010001101101100101110101101101110100111010101011001100011011101001000011011111010010	1	0.0762	1	0:01:18.066038
25	1010011010100001101000101001000010110110111001111101011011000010000110101110011111101101110000010101	1	0.0762	1	0:01:18.477046
26	0100101010111101101111011101111101001011101011111010111110000110000110110110000111000110001110010101	1	0.0762	1	0:01:18.084411
27	1011100110101010010011001000000111010101111000101001111110101111000010000100010111000000010100100111	1	0.0762	1	0:01:17.073802
28	1100110011001000111111110000001001101000001110110000001110111010100000111110000101010110010100001011	1	0.0762	1	0:01:17.246808
29	0110010100100000100010011111011111110010100001110101110110011010101110001001010011101011110100100000	1	0.0762	1	0:01:18.114892
30	0000101100000100001111001001001000010110110000110011001010011010111101011101011110000110000001010001	1	0.0762	1	0:01:18.527881
31	1011100010101001101011111001111000111000000111000000011100100101000110011100111110001010010101011011	1	0.0762	1	0:01:17.030838
32	1111101001011100010000010111101111100001110001010011001101010100001011001101101011001010101100101101	1	0.0762	1	0:01:17.533038
33	0001111001010100111111110101000100100110001111001100100111110111000111011000001001111110101111000111	1	0.0762	1	0:01:18.735023
34	1000010110011011101100000011110001000111000010110101001010100111011110111011111101010110111101111001	1	0.0762	1	0:01:16.666678
35	0011111000001000110010000000111001100010110001011101000100101100101000011110111101010110000011111000	1	0.0762	1	0:01:17.665969
36	1010111101011010100110001111111100000001101100111110110110010101110001110000100010111111111010010001	1	0.0762	1	0:01:17.033317
37	0001010110110000110011101111100101000010110011110101101011101000001010001011110110111101111100001010	1	0.0762	1	0:01:17.292382
38	0010110000000110100011111000000110100111001001100010100010100001101001001100100101111011011001010101	1	0.0762	1	0:01:17.463305
39	0111111111001110101101101000111001100011100100110100100100110101111011001111001100101011100000001011	1	0.0762	1	0:01:17.509849
40	0000010001111000011100011111101010110010110000110010011101011101001101100110010101100000000001111110	1	0.0762	1	0:01:16.390020
41	1101100111010111101000010100011011100110110010111000110001001101111100101110011010010010110000110011	1	0.0762	1	0:01:19.473411
42	0110010011000000111000110001001110011000100001100011000101110100111101001011110000101111011000000001	1	0.0762	1	0:01:16.776055
43	1011000100000110000001010011001101100001110011001101001111111110101100010110001010101000000000010010	1	0.0762	1	0:01:17.033937
44	0100110111000110000010100111011001111010000000001101000011111100110100001111011110000111110101111111	1	0.0762	1	0:01:16.384395
45	0100010100011011000001101010101010000011011001010101001010101110010101011001101010101001110011001001	1	0.0762	1	0:01:18.722447
46	1101100001111100011101101001101101001010100111101100111001011100110111101110100100100101011000011101	1	0.0762	1	0:01:19.795597
47	0100100100110110010011101111011010000000100011010101101010001001001000000011111001000001011001110000	1	0.0762	1	0:01:16.965631
