idx	label	predict	radius	correct	time
0	1001110011101011111110010011010011100011111100010110100001110010001011110101110000110010000100101101	1	1.91	1	0:00:06.135723
1	0011111110001110001000001001110101010010110000100011010111011001010110000011001100101010100110110011	1	1.91	1	0:00:03.754128
2	1111001000000011010011101011110011111111110001101011110001011010011010010111001101101110101010010001	1	1.91	1	0:00:03.769037
3	1101001010001101100110101000111010110100100110001011100010101001011001100111011010000100000001110100	1	1.91	1	0:00:03.750914
4	1100011110110010000101000110010000111101011001000000001101100111111010001001100100101110011000100010	1	1.91	1	0:00:03.757879
5	0101011100100100111011101000110000111101111001000011110111010110110101101101100101000101110010011001	1	1.91	1	0:00:03.763627
6	0100101001100001101011111001011011001000010001010001001001001111010010111011100000100010100111100111	1	1.91	1	0:00:03.834774
7	1011111010101111011010000001010011111011001101011101111101101000110110110111100010000010010100101110	1	1.91	1	0:00:03.764104
8	0111100001111101001111001110101100101110100000111100001000101100011001011001110111100110110001111110	1	1.91	1	0:00:03.773433
9	1110110011010111011011111011110100100001101011110000011101110100001010010111000101101101011011000001	1	1.91	1	0:00:03.771473
10	1111100100001000000001011110101111000001010000110010001111001001011011110001001000111101011010110100	1	1.91	1	0:00:03.768830
11	0110000000100001010001001100111011010001110101001111100101011001001001000111111110110010111001100010	1	1.91	1	0:00:03.819485
12	1000110000010101101000111100111101011001000110110001001001001100000000011000101111011000000000000001	1	1.91	1	0:00:03.813047
13	0101100010110100101111000111111110111000001100001101110010110110111100110000011110011110001010110010	1	1.91	1	0:00:03.792224
14	1000001011101101101111110111000010101101011111110011100110101110100010001000001101011010101110100000	1	1.91	1	0:00:03.780317
15	1101110110110111111100101001010001001110111000111111101101111111101110101100011111110110011110101101	1	1.91	1	0:00:03.774185
16	0000111000110111001010001010111110110000011001010001001001100001100100110010111100101110100000001100	1	1.91	1	0:00:03.765985
17	0000111000111001111101010111001110111010001000110100011001000110101100111101100100110111000100001101	1	1.91	1	0:00:03.798395
18	1011011110111000110101100100000110101001111101101000000101001001110011100000101100010111001010100111	1	1.91	1	0:00:03.783483
19	1010000110010110010010000101110000110001011111101001001011101101010111000000011011000110101010010010	1	1.91	1	0:00:03.814210
20	1111111110001011110110000011011010000000110001001011101000101010110011111000100010001001000001000001	1	1.91	1	0:00:03.875808
21	1011010111110011000111011101010010010000001101111111101101110101010100001100000110001001110100000100	1	1.91	1	0:00:03.922576
22	0100110100111010110100011100110010100011100000111110100010001110011010111001011101101001000110100111	1	1.91	1	0:00:03.886948
23	1010111010010010000101100000000101101111010111011001101110111010000111001011000111110111101001001000	1	1.91	1	0:00:03.918785
24	1010101110010011000111001100111100001011110011000100000001010000010101100011010000001011010111000100	1	1.91	1	0:00:03.839471
25	0110110111011101110001011000100100001000110110000010100110101001101010010000001011001101011111110001	1	1.91	1	0:00:03.850192
26	1000000101000000010110111011111001100001011101110101000011011101101110101011001011011100100101110111	1	1.91	1	0:00:03.928840
27	1110101011100110100011110111001011111111010111111110110010100101001010100001001111000010100011110110	1	1.91	1	0:00:03.901322
28	1001111111111000000111000000111010100111111111011000111010100001101110010100101010110000110010001110	1	1.91	1	0:00:03.830004
29	0000011000000000000100000001111000011000010010000001001110101111000110010001010010001011111000111101	1	1.91	1	0:00:03.857417
30	1001100101100010000001101100000111110111011111101100111110110010101101000101100000010010101110110011	1	1.91	1	0:00:03.888759
31	0101010011101100100000011011110101010010101101010100111110011001100100111101011010000010100101111110	1	1.91	1	0:00:03.873114
32	0010010100011010111111010111001011000110111100100101100011101001000001011110111011111110101010101010	1	1.91	1	0:00:03.886359
33	0101001000011101100011001001101110011000111011111000000011111110001000101111000001100111010000110001	1	1.91	1	0:00:03.956930
34	1010001000001111011101000000101000001111001000111111001111111101111010010000000010011110000010011101	1	1.91	1	0:00:03.927788
35	1110010001111110011101000111001000101001111011001100110110100110111110110100001101011010010010101111	1	1.91	1	0:00:03.844291
36	1101000001010010000111001111100011111100101011100101000110110110101100011110101001010010111001101011	1	1.91	1	0:00:03.850768
37	1001000100011100111101011110011011110110010100101101110010010011000011100101101111111001100011100000	1	1.91	1	0:00:03.869797
38	1001101000000101001010011000011011110001000110000001101000110100111010011100000101111100011110001111	1	1.91	1	0:00:03.820225
39	0110100000011010110111001011101111110110001111011111110101011110110001111001001011101111001011010000	1	1.91	1	0:00:03.790266
40	1110001010110000000001111110011101111000000111010101000000111100010110010011011100100101001100111011	1	1.91	1	0:00:03.816019
41	0110100011100111001110111000111000111011101111100000000111101001011001111011000000011101100111110111	1	1.91	1	0:00:03.788990
42	0110001011100101100111101001111101000010111001001000010110100001000010000110100111110011011011011101	1	1.91	1	0:00:03.803282
43	1100101100001011100111101001101011111101000011001100100000011011000100110110111010111001000111110010	1	1.91	1	0:00:03.793152
44	0110111000001000000111000110110001010100111001000000001001101101001101001101011111101000101110110100	1	1.91	1	0:00:03.806265
45	0010110101111100110101001000010111010111010101110001001101110011001111101000010001010111110100110011	1	1.91	1	0:00:03.799358
46	0001000101101110110010110101011011101000011101010100111000010010101011000000110111110100101000100010	1	1.91	1	0:00:03.789994
47	0100010100000000110110010011100101101101001001110110110111100100111110110101101010110110101010011000	1	1.91	1	0:00:03.879056
48	0001001111111010010110011110011110110111111000101001101000000000100101101001100000101100101100110110	1	1.91	1	0:00:03.824476
49	1110010101011011001110101011011110110100001010011111000010101000001001110101000101001110110000111010	1	1.91	1	0:00:03.779179
50	1111101101011011010101110010000011111011001010111000011100100101011001100100111010001000110111100111	1	1.91	1	0:00:03.795274
51	0001100010010010001111001101010100100011000100001000000001001111011101000100111100100011100100111011	1	1.91	1	0:00:03.782480
52	0111011111010101001000110011100000001001110000011110010001011100000001101100001001101001111010001011	1	1.91	1	0:00:03.798860
53	1001000100110010110010101100101000111110001011100000100110111000111110001110000101100010101001110111	1	1.91	1	0:00:03.776550
54	1000101000001101110000000001000011010100110010011011000101111011000000011110000010111000010101101001	1	1.91	1	0:00:03.788056
55	0100100110101100100010111001001010100010000110100101101001001001000101001010010101000101100100011001	1	1.91	1	0:00:03.776339
56	0111011010010001010001001101011100011010001000010010011110011110011010111010110100001001001101011100	1	1.91	1	0:00:03.886587
57	0011101010110001000000000100010100101100011001111011111001100010010101011110111101001110010101000011	1	1.91	1	0:00:03.787375
58	0001101100010110011001011011111100100100100101001000001101101010011000000100001010001000101101100100	1	1.91	1	0:00:03.826348
59	1111100000110010000000100110010010110110101110001010011011000000101000001011111010100100001000010001	1	1.91	1	0:00:03.824232
60	1011000010101110010100110001000010000011010111101001000110111000111011001100101101000001001011110110	1	1.91	1	0:00:03.801794
61	0000110001100011011110010000001101001110110000101110010010010001111000000101001110001111101110000001	1	1.91	1	0:00:03.810507
62	0100010111001011011010101111101111110000010101001010001011101001010000101101111000000000000011111001	1	1.91	1	0:00:03.799335
63	1000000010010101101011010001011000100101000011111001101100110101110101001110101101011100100100110100	1	1.91	1	0:00:03.807072
64	0000010101011011100010011000110110001010111111001010111110011000011111101010100110100001101000011111	1	1.91	1	0:00:03.814703
65	1001011111000000111111110111010001100100011110001110100000000011100000101100101111111100110100011110	1	1.91	1	0:00:03.797417
66	1100010101011001001001110010011011111110010101000000011100110010001110011011000101000011100111011000	1	1.91	1	0:00:03.811412
67	1101001101111110011000000010000011011100101000010111111010100111111100000101000000001110001011010111	1	1.91	1	0:00:03.802714
68	0000110010001010011101100011011100110000010111000111100000000000100001000100010110100001111100100000	1	1.91	1	0:00:03.881474
69	1101111001110001001000010101101111111110111100011110110011111100001110101101110110101011011111010111	1	1.91	1	0:00:03.822750
70	0110010101110100110011101001100101010111111100000011000110001010000001101111100100000111111111110001	1	1.91	1	0:00:03.808741
71	0001011111011000000100100011110110111100000110100100011011001000000110111001010100011111110100110011	1	1.91	1	0:00:03.814495
72	1100111000101110110111101100000111101101000101001111011000100010100100001100100101100100010101011101	1	1.91	1	0:00:03.804799
73	0101010010010111111010101011001011011000000100110000011011001111111000111100111111010101001000011001	1	1.91	1	0:00:03.799081
74	1101011100011110010110111110001101110011111011001000100011000111010010110100111001101010100000101100	1	1.91	1	0:00:03.803509
75	1000000111110010000001110011110000001110011110111101111010110011110101010111110111111110100011001110	1	1.91	1	0:00:03.798575
76	0100111000100010000001001101011011010101011110000100110100001101100101010011001110010100011011100000	1	1.91	1	0:00:03.811007
77	1100011111101111010100110000001011011001011011101000011000101010001111010011111001010101011011101010	1	1.91	1	0:00:03.807011
78	0011110000101110101111011110010011100010110100101100010001001100011111010110011100101011100101101010	1	1.91	1	0:00:03.805492
79	0001111111000000100000111001101110110111001010100010010100100001111001000100010101100010001100100101	1	1.91	1	0:00:03.811617
80	0001101001110011001110010011110100101011000001011011101110110110001010100010001010110100000110000110	1	1.91	1	0:00:03.823914
81	1100110000010001100100100010010110011000010101001111001110001011011001010100000000110011010010001001	1	1.91	1	0:00:03.822819
82	0100110011110010000001110101011011101101101011001101000111000100100110011000101101000000010111001100	1	1.91	1	0:00:03.784706
83	1101001010010101011101001111101000011100111111000000100111100010000011111011110111110010110011100100	1	1.91	1	0:00:03.785292
84	0001100000011011010000100100100010100101000110100001101011001100100001110100101100111101000001001111	1	1.91	1	0:00:03.802900
85	1000010011110110011101011001001010111011101010010010100111110001111010101011101111000011101000111010	1	1.91	1	0:00:03.780572
86	0000111100111111001110011010111011100000011011110010100111001011001001010101101011110101010000101001	1	1.91	1	0:00:03.787390
87	1110001100100001001010010001111010010011001100011001110011001110111111011110110100011010011110001000	1	1.91	1	0:00:03.782742
