idx	label	predict	radius	correct	time
0	1001110011101011111110010011010011100011111100010110100001110010001011110101110000110010000100101101	1	0.0762	1	0:00:18.144285
1	0111001011111010110101101110011001001111101111101010101111111110110000000000000101000111110111001011	1	0.0762	1	0:00:16.441680
2	1110011111110111101100111101101011010011111010101111111000011101111101100100000001100111110001010010	1	0.0748	1	0:00:18.136665
3	1010111110001101101001001001010011001111011110010011010010000011101110110000011000000110100110000110	1	0.0748	1	0:00:17.933542
4	1101011101001001000100100001110010010101111100000111011101111101011010101100010111101100010010100110	1	0.0748	1	0:00:18.551816
5	0100001011000010000101110111100011101011010010000010101011111001101000010100111110101100101101000101	1	0.0762	1	0:00:17.485624
6	1000110101000001110001001000010011101010111111111011101100101111000010101111010001010000000100100100	1	0.0762	1	0:00:16.256464
7	1010111010100101101010100100100101110001010100001010011000000001001011010101001011110101100001000111	1	0.0762	1	0:00:16.542114
8	1101010110111001100011110010011110000001101010010000011000010101101001111100010011100110110001010111	1	0.0748	1	0:00:15.791339
9	1010100000011110101101111001001110100010110000101011000101111111011111101111110010001001110111011111	1	0.0762	1	0:00:15.357641
10	1100011101111110100100111001111001010110001100011000011111010101110010010110101000100100011001100000	1	0.0762	1	0:00:15.079829
11	1100111011111011001010101111101110001000010111000100011101111101000101111011101000000111101100101010	1	0.0762	1	0:00:14.472467
12	0011000010000011001000001101101010001011011111110110110000000101000111011111010010110010101001110010	1	0.0748	1	0:00:14.657049
13	1011001011001110011100011111110011001000100111010110010100111110000001111001100001101000011100101100	1	0.0762	1	0:00:14.978220
14	1111100100110011100000010000100111101011110011000111001110010110111101011110111110110101101100001011	1	0.0748	1	0:00:16.234437
15	1000010001101001101101110101000011100100001101010111100000101110000111111101010100010100101010000101	1	0.0762	1	0:00:16.237204
16	1001110000000100011000001000101000110000111110001111000001011010000111010010100101010110011110110110	1	0.0762	1	0:00:15.695971
17	1010001010101110101110001110100011010110010001101010101111000001010111110000011000110001010111101101	1	0.0762	1	0:00:16.051543
18	1011001111111001101100100010101010110101101001010010111111001011011011110000011000110001101011000010	1	0.0762	1	0:00:16.153322
19	0101101000011101110111111011111001010000110100011101100100011011111111010010001101010001101010110100	1	0.0762	1	0:00:16.216234
