idx	label	predict	radius	correct	time
0	0101011100001111011010100001101011010011001110001110111001100011101100011011010111011000011110000011	1	1.91	1	0:01:07.552894
1	1100100100111101111001000111111011111100011011100000100100010100001011000101010111010100001001011100	1	1.91	1	0:01:05.164042
2	0101000000110001101001101000011100101111110111111110101101010011111000101011111101110011100011101010	1	1.91	1	0:01:05.490902
3	1110011101010011111001010001110010000110110011001101100010110000000110000110110101001100101010000011	1	1.91	1	0:01:05.607228
4	0110011011011101111011011100110110010110111110101011111100000001110101010010001001100001001001010010	1	1.91	1	0:01:05.638519
5	0000010001000000101110011001101011011001001110001000100000111011101101100101101101100010101011011100	1	1.91	1	0:01:05.682034
6	1000011011000101001100010101000001101111010101000100101010100000010111100101011000101100011001000011	1	1.91	1	0:01:05.730574
7	1011101011000011100101101100110010011110101110001010110110111100001001100100111010101101000111000001	1	1.91	1	0:01:05.697843
8	0110010000010100100010100000110001111000110001100011000011111000111110100101100110011111010110110100	1	1.91	1	0:01:05.755324
9	1011110110010010100100001010000000001110110001001011110000011001011110001000010111101001101100001111	1	1.91	1	0:01:05.703799
10	0100101001100011011101010011101010010110100101100010110000100000100100100011011000101101100001100110	1	1.91	1	0:01:05.709329
11	1001100000110000001100110011010111010001001111111101101100001101010111101011000010101100000001110010	1	1.91	1	0:01:05.742646
12	1111010000010010100011011000011010111011000011011110100111100100110110011101101100010101011110001100	1	1.91	1	0:01:05.697700
13	1101101011101000001110001001110101111010101110011101000010110101001000101110111010000111101111000111	1	1.91	1	0:01:05.710795
14	1000000001110000100111110110111101010011010011000101111110011000001101111100010111001110001101000010	1	1.91	1	0:01:05.724015
15	1111000100011000110100001101100111111011011000000111010100010000010010111001000101101101101000010110	1	1.91	1	0:01:05.697968
16	1111100000001100110001111100011010001110010111011010110101010001100110000111111110000110111010001100	1	1.91	1	0:01:05.648917
17	1110100101101111001100111000111101110001111100100110100100011111000110111101010100100010111011011110	1	1.91	1	0:01:05.728816
18	1010000111100111001110111010101101100101110101110111110001010001100001011101110010011011100111100000	1	1.91	1	0:01:05.708369
19	0101111001011001001100100101100111011110100111001110001010001001000110011100110100100001100000010101	1	1.91	1	0:01:05.733721
20	0011101101110100111010111001000001100011001110101000110001011100011111110010111011001100101000001011	1	1.91	1	0:01:05.741997
21	1110001100111010100000010101010101111011101110101101111010101101000100011111001011011011010011000111	1	1.91	1	0:01:05.721989
22	1000001111000000001000010111110100101010010000010001110110001111001011001000001010101110001001110100	1	1.91	1	0:01:05.694139
