idx	label	predict	radius	correct	time
0	1001110011101011111110010011010011100011111100010110100001110010001011110101110000110010000100101101	1	0.0649	1	0:00:19.680044
1	0111001011111010110101101110011001001111101111101010101111111110110000000000000101000111110111001011	1	0.0699	1	0:00:16.909173
2	1110011111110111101100111101101011010011111010101111111000011101111101100100000001100111110001010010	1	0.0694	1	0:00:16.981766
3	1010111110001101101001001001010011001111011110010011010010000011101110110000011000000110100110000110	1	0.0643	1	0:00:16.909081
4	1101011101001001000100100001110010010101111100000111011101111101011010101100010111101100010010100110	1	0.0864	1	0:00:16.916056
5	0100001011000010000101110111100011101011010010000010101011111001101000010100111110101100101101000101	1	0.0589	1	0:00:16.563415
6	1000110101000001110001001000010011101010111111111011101100101111000010101111010001010000000100100100	1	0.0853	1	0:00:16.842974
7	1010111010100101101010100100100101110001010100001010011000000001001011010101001011110101100001000111	1	0.0965	1	0:00:16.330472
8	1101010110111001100011110010011110000001101010010000011000010101101001111100010011100110110001010111	1	0.0562	1	0:00:16.305530
9	1010100000011110101101111001001110100010110000101011000101111111011111101111110010001001110111011111	1	0.0724	1	0:00:15.987742
10	1100011101111110100100111001111001010110001100011000011111010101110010010110101000100100011001100000	1	0.0704	1	0:00:15.991287
11	1100111011111011001010101111101110001000010111000100011101111101000101111011101000000111101100101010	1	0.0527	1	0:00:15.732732
12	0011000010000011001000001101101010001011011111110110110000000101000111011111010010110010101001110010	0	0.0138	0	0:00:15.888753
13	1011001011001110011100011111110011001000100111010110010100111110000001111001100001101000011100101100	0	0.0259	0	0:00:15.765786
14	1111100100110011100000010000100111101011110011000111001110010110111101011110111110110101101100001011	0	0.0394	0	0:00:16.194585
15	1000010001101001101101110101000011100100001101010111100000101110000111111101010100010100101010000101	1	0.0246	1	0:00:16.010441
16	1001110000000100011000001000101000110000111110001111000001011010000111010010100101010110011110110110	1	0.0827	1	0:00:15.308378
17	1010001010101110101110001110100011010110010001101010101111000001010111110000011000110001010111101101	1	0.0559	1	0:00:16.251899
18	1011001111111001101100100010101010110101101001010010111111001011011011110000011000110001101011000010	1	0.0483	1	0:00:16.242612
19	0101101000011101110111111011111001010000110100011101100100011011111111010010001101010001101010110100	1	0.0743	1	0:00:15.920451
20	1001111001001011101001111000111101110010001100111011110000001011101010100110101001110101100010010100	1	0.0314	1	0:00:16.208543
21	0001101110110000010010011101001001100101011010001110010001001100111011011001110011011100001001101011	0	0.00518	0	0:00:16.135058
22	1000010001001111100100011011110001101100011000010101011111001011100110111010101000100101110010010000	1	0.0468	1	0:00:15.485135
23	0101110101110010110000000111010111111000100101010100001110011000000010001100011101101110110011100111	1	0.0838	1	0:00:16.025191
24	0000000000100111111010111000111011101100001010101001111110110100001111000010000100010001000101010100	1	0.0658	1	0:00:16.661502
25	1001110011010111010010010110100100100110010000100111111010101000010000010110010110111111110111010000	1	0.0852	1	0:00:15.754678
26	1000011100011111001110000101010110100001000000011101110100110100100010000110111100000010111001010111	1	0.0528	1	0:00:16.792924
27	0001100011110110001001001101100110100000101000100101001011000001110110101011101111010111110100010110	1	0.0768	1	0:00:16.586741
28	1000001110011111011101011010101000011010010111010110111111100110101110101011101101111100001100110101	1	0.0542	1	0:00:16.270992
29	1110111101101001110000010100111101001001111100110010010111000010000000110010100001101101001111010011	1	0.085	1	0:00:16.851488
30	1010110111111001000001111110011000110100111100000101100101011001110000101110001110100011110110010101	1	0.0774	1	0:00:16.771767
31	0010100001100111100111111110001010101011001001011111001101000011001011000001011000010111101101001011	1	0.0775	1	0:00:17.174277
32	1001000000011000101101110110000010001001111110000011010011111111100011000110111100100111101001110100	1	0.078	1	0:00:16.751358
33	0100101110001010001001101101110100111111011111101110011011101011010010101000101011111001111100000000	1	0.0706	1	0:00:16.659370
34	1000100000101111010100000101100110111100000011001001001101110000000100001001000111010110110000100010	1	0.0457	1	0:00:16.844086
35	1111100011110100000001000101100100100000000100111100101110000101101100011110100010100011000000011001	1	0.0742	1	0:00:17.041235
36	1100111010011000110111011010100001000101011010111000011111100100101000110100100110001110111101101111	1	0.0762	1	0:00:16.874389
37	0001101001100100010110011111001011011010010101111100110000100100110101111100111001100100001110010101	1	0.0766	1	0:00:17.040096
38	1100001001001111100011101100100110001010001001000111000010000011110100111101110001111110011011110010	1	0.0687	1	0:00:16.575597
39	0011100000111110000010001111111000100011111111000110010111101011010010100101000111011100010000111001	1	0.0545	1	0:00:16.974864
40	0110101010110001000100100100111000000001100000010010011011000111011000110111010011010111010100011110	1	0.0719	1	0:00:17.504565
41	0010101110011000100001000011110001111100111000000110000111111110111101011101010001100111010000110111	1	0.068	1	0:00:17.941171
42	0111111110100100101011010000010001100010011000001010101101011010100011011011001101001011010011010000	1	0.0528	1	0:00:17.967684
43	1101010000000010011000001101110001001010111001001101110101100000001111101010000011111000010110101000	1	0.0723	1	0:00:17.482819
44	0111010010000011111010011101001001101011011000001110001110000101001001100111001011110011011101111001	1	0.02	1	0:00:17.095835
45	1111100111110011000000001111100110111011010101110100010000100001111100101000001000011010011011010000	1	0.0825	1	0:00:16.701804
46	1111100111110011011010110111100000110101000111001011111001010001011111101101011101010101001101101011	0	0.0439	0	0:00:16.987074
47	0111110001010010001100000000100110110110001111001101111010010110100011111100000011101100100010100001	1	0.0739	1	0:00:16.596094
48	1001101101100010101110001110001100010010111011001101111100100001011010110001110101010010110110111011	1	0.0506	1	0:00:17.343957
49	0100110011010011101001000001001011111001111010100001011010010111010000100100110111111100001010110010	1	0.0928	1	0:00:17.112486
50	1110101000010000100000101010100110110011100111100000111001110000010001010100011001011011010110111001	1	0.0795	1	0:00:15.991453
51	1011101010101101101101111001011101001010010101101001001001000011010000110000101011010001101011100000	1	0.0474	1	0:00:16.667444
52	0100110101110101100111111001000010010101001010100011011000100011101100100110101010100011111011111111	1	0.0505	1	0:00:16.479162
53	1011111000001010111011110010111001010110111101111000001010111011011111101100010101011000010011111010	1	0.0486	1	0:00:17.351082
54	0100101011000010000010011011111001100001010100011001010001110101100010011110111010010100100100011110	1	0.0804	1	0:00:16.538303
55	0011011101011100101110010111011110101101110010001011000111000110100110111111011011110011010101100001	1	0.0534	1	0:00:16.118477
56	1100000100000010011100001111111010100110110111111001110000101110101001101100001010101010111010010000	1	0.0804	1	0:00:15.945931
57	1000110111111111000110100001111110100111101101011101101000101101001001000011011111111110000001101100	1	0.0467	1	0:00:17.101536
58	0110100100100011000100110101001000110010001001001111111110101001110010000101010001010010011001101100	1	0.067	1	0:00:16.982018
59	1110010111011111000001011101011110000010110111110010000111111000011110011101010110000110000101000100	1	0.0797	1	0:00:16.618020
60	0101001011110010000101011010001000110110001110010101111100001101011001111100001111011010101010010001	1	0.0749	1	0:00:16.836555
61	0100111011011001011110001110001100111111011111101000101101011010000011101001110001100101000111011001	1	0.0645	1	0:00:17.300269
62	1111100101010101010000100111110101101110010000111110110011010101111011100010001011010010010101101101	1	0.0194	1	0:00:16.923722
63	1011111001110110000000001100100100010001100101011010011001010000000101010100110001010110100111001001	1	0.0324	1	0:00:17.278704
64	0111011011001011000001011011100001001111011011010011101110100111100010100100101110000001011110100100	1	0.0657	1	0:00:16.151680
65	1111110110100001000000101011101101000000010111110000001000000010011100101100011101100011011000100011	1	0.0508	1	0:00:17.054283
66	0000001110100010001101110011010100011110101000011100100100100001000011000010001010101011110011101101	1	0.0875	1	0:00:16.499310
67	0000101101101000000111001000000111000010111110001100010000001100010111111000110100101001001100100101	1	0.0349	1	0:00:16.873976
68	1100000100000110111000010100110000000111100111101110011100011100011010110000111011010010011011100111	1	0.0545	1	0:00:16.865242
69	0001101010100100100110110100010111010001110111000001101010100111100010111110101000110001011010011111	1	0.0908	1	0:00:17.565097
70	0100111100011001111111011000001100110001111000011010011010000001100010111010010100110010010100110011	1	0.0427	1	0:00:17.916976
71	1001110100010001101100011101101101000111110110010010111011001011110010010001001100000010100000001011	1	0.0884	1	0:00:18.098801
72	1001110011000101111000110100110010111010111000110111000110000110110101010101001101000000110010000001	1	0.0895	1	0:00:17.508731
73	0111110000101001111010001101101111011100100011111110011100001111111101101111100111001011000111010010	1	0.0554	1	0:00:17.838216
74	0111011100110001000110100110101001000000100101110001001001111111101100110100101010000011110110111101	1	0.0773	1	0:00:17.768081
75	1111110111000000011001101110101001110101001000011100111000011000010000101001000100101110101000010011	1	0.0633	1	0:00:17.585697
76	1100001111110111101001101010100101110101101110010011011000111101100111110011100100100000010011110111	1	0.08	1	0:00:18.089640
77	0001001011000111111110010110111100010110111101011100011110000001111001110011101100001100000100111111	1	0.0838	1	0:00:18.132952
78	0101010111000111100001010001001001000100100000101101110100110111110011111111100000111101110010100010	1	0.0788	1	0:00:17.852114
79	0011100101110101101001111110000011110010100101001100011000101110001010001101101111000110111111011001	1	0.0786	1	0:00:17.865993
80	1010001110100010011011001101100101110101011100001001000111011000000110000011110011010010001010010110	1	0.0797	1	0:00:17.586767
81	1001011010010010011101000010100100011001101101111001000101010111010011000110011010110010110101001111	1	0.0842	1	0:00:18.669848
82	0110001010101001001001111010111101100010111110110000100000110101101010000101001110010101000000110011	1	0.0902	1	0:00:17.970889
83	0000111010001001001011101111011101101110000101001010010000101010101111111001011001101111100101001111	1	0.0891	1	0:00:18.036754
84	1101010101000001111110011110110010100100100100000010000000100000000101010000011110110101110011001010	1	0.0617	1	0:00:18.110165
85	0110010001100000001000010000111000011101111010011110001011111111000110010001000010100111011001011101	1	0.083	1	0:00:18.186650
86	0010100001001000000111110010101110010111000000101111110011100000000101010111011100100110011000111111	1	0.0699	1	0:00:18.664062
87	1110101010101001101011011000001010000100011000011111011111010111100100001101111000010101001110001000	1	0.0791	1	0:00:18.331636
88	1011100110111100011110100100011001100001001011101010011010110010001101010111010101001101100101110100	1	0.0448	1	0:00:18.084738
89	0000110101110100010111111100110011000110101111011001010011110101001100101011001110001001111010110001	1	0.0694	1	0:00:17.701723
90	1110101010100001000111001010001110100100101011010001001010001111101011000111111110111110011010101011	1	0.0758	1	0:00:18.101283
91	1100001011011001100010010011011100000010111010011111011111000000110111011010011100101101010101111100	1	0.0568	1	0:00:17.980707
92	0100000000110100111011100101010001110010011011011011000010010011001000000010101001000001101101111110	1	0.08	1	0:00:18.252188
93	1000011010011011111011100010110010000001010011111101011001111100111110101001001111000001011011101111	1	0.0723	1	0:00:19.345292
94	0010010000100011001111001101100001011010100110011100001011110010011010000101111011101000111010001100	1	0.0839	1	0:00:17.900072
95	1011110100010011101100101010011011000111111010101000010000110101011110011010101110000000101111111011	1	0.0358	1	0:00:18.010034
96	0000100001111111111000101111000010000101000001111111001010001101110101000000011010001000001010100011	0	0.011	0	0:00:18.052767
97	0011000010100100010011110001011111001001101001110001000111110100010110011011100010111111011010100100	1	0.0499	1	0:00:18.274983
98	1011111000111101100111001011100001110111010000011011110000100000001001110100101111000101100100010111	1	0.0784	1	0:00:17.450355
99	1010110110100000001010010110101000011101001001000010100001000010000100100111111011100101100100011101	1	0.068	1	0:00:18.115876
100	0111111101000100101011110101110100101010111001111010000011010101011100101100000000011000001000001011	1	0.0285	1	0:00:18.054040
101	1111111111100111001000111110011110011000011010011011010101101000111110011111001001100000000110100001	1	0.0573	1	0:00:17.574460
102	0001100010010110011110110110110011100110001110100000001011000011010101000101101100000011111101011000	1	0.0365	1	0:00:16.306381
103	1110000101010101110000010100010111101100100111001011010001000111011100100011001110001101001010110111	1	0.089	1	0:00:16.244232
104	1011111011110010101000111000111101101111011111010111100101100100100000001101010101101110001111010101	1	0.0699	1	0:00:17.560933
105	0111011010110010011110011011111101011110001111101001000100000111101010011111100001110100010111011110	1	0.0622	1	0:00:16.731514
106	1000111101010001101001101010111111001001111000011100000101001000001001110000000110001101010100001010	1	0.0551	1	0:00:15.971922
107	1111011011001001111100111101101101110010000100000100000000010101111000010111111010011001011011000011	1	0.0639	1	0:00:15.816342
108	1101000100110010000101111101001000101011010100011111100111010000011000100010011110001100101011101110	1	0.0828	1	0:00:16.688091
109	0110000101010111010000011100111001010010011111001101001101110111000111011010001011111001111101010101	1	0.0753	1	0:00:16.917838
110	0110100110010001111110100001111001010000101010101100100000001111001110001100101001000110111010011111	1	0.0101	1	0:00:16.837701
111	1000101001101001110001000111110011110100101110100000111110110001011100011111001000100100100101101000	1	0.00786	1	0:00:17.443888
112	0111010100100011100011110110111101001101000011010110100010011101110110101101100110101000111110111010	1	0.0672	1	0:00:16.705411
113	1110101101011011100110100100001100111100110110000000011110010010111010010111001111101111011010100101	1	0.0736	1	0:00:17.242172
114	0011001001001111100001100110101000000111100000100001100010001110101101011001010110110111101000110100	1	0.0848	1	0:00:16.817872
115	1001110100100101011110010011010000110100001111110011100101101000000011111011100000011000101011111110	1	0.0703	1	0:00:16.823999
116	0101010100010100100100100111100001100110110010111001101110100001111110111001101111010100011010110011	1	0.0789	1	0:00:16.974711
117	0111010101011100010100000110110010111111001001110010001100011110011111010000110010011110101000010010	1	0.0487	1	0:00:17.186034
118	0101000101100110001000101111110101101101000000000100110100010110010110111101110010001101001010101111	1	0.0517	1	0:00:17.226014
119	1010110100110110000100011110001101111010011101000001110001011100000100011010000100000001010001010111	1	0.0784	1	0:00:16.996720
120	1111001011010000110010010101001000000011000001011010110010100110110010111011011000101100001011100100	1	0.071	1	0:00:17.204306
121	1111010110011100110100011100110110110101011001100110001101001101001101011000110100010110011100101110	1	0.00627	1	0:00:16.962238
122	1111100000000110100010001111100101110111101110100110001101001111101100111111010100010001101111101110	1	0.0875	1	0:00:16.182840
123	1111111111011010011110101000000010101110111010111111101110100000010100110010110001010000001110010001	1	0.0802	1	0:00:17.075654
124	1000111110101001111011000011000000101010111111101001111111101101000011000111001110100011011110011111	1	0.0777	1	0:00:16.168482
125	1001100100110110011110000110001001011010000101010001010101011110100100000100111100010010111110101101	1	0.0837	1	0:00:16.408434
126	1111110001100001110001001011111010110011100010000001101000110111101010000010001101110111100100101110	1	0.0698	1	0:00:16.694347
127	1011100111000010010000111100111110101001010101000010010000111001101101000100010110001000010101101011	1	0.086	1	0:00:16.322952
128	1000110011000100111100010010100100100100001001011111001111001000110110110111001001011100000100111111	1	0.0265	1	0:00:17.020603
129	0011011000010011000001101011111010110111010101101001111101110110111001001111110101110011000011011011	1	0.0626	1	0:00:17.100050
130	1110101110000100100100101010100100011000000111001001010110111101101101001100010010110111110110101001	1	0.0718	1	0:00:17.333251
131	1001011000001110100010001110010000001000010010010010010111100111100101010011101100010101111001010001	1	0.084	1	0:00:16.985231
132	0010000000111001100101100011010101100110011001011100011111010001001100100010101111111000100111000111	1	0.0599	1	0:00:17.157830
133	0100100001101101111000001010010001101010010010011100001010100000001101101100001100010100111111000001	1	0.0884	1	0:00:16.168198
134	0010000011110100100110101101111000011000101100111011010100110011110111110101001100001011010100011101	1	0.0671	1	0:00:17.405819
135	1100010111011111011110100110100011011101111011100101010000111000111111010001101100000100011111010101	1	0.0602	1	0:00:17.004279
136	0100000100011001101100111011001011011101011110110000100101001011111100000001010010011101101100101000	1	0.0771	1	0:00:16.388011
137	1001011110000110101011001010101111010010011100011011101111110110010010011101001010111111000101100010	1	0.0644	1	0:00:17.129749
138	1100110001010101110111000100110001000100010111010111111100101111000101001100111100011001111111101010	1	0.0435	1	0:00:17.103161
139	0101001011011101011110001110100111110010101001011101010111010100100101000100100010000011011110110110	1	0.00555	1	0:00:16.298434
140	0110010000111110001010111101111101100011101100000101100100100101010101000011010100100010010001100001	1	0.0404	1	0:00:15.957750
141	1111000101110001000111111110110100111000111101010010110011110111000110110000001101010010000000111100	1	0.0822	1	0:00:17.235137
142	1001100011000110010000110000000001111001011110011011110001000001011000111011000110111010110010011010	1	0.0701	1	0:00:17.053979
143	1000000011001011101001111111000101000001110011110011101001111010011011000011011111111110000001010001	1	0.089	1	0:00:15.717062
144	1100011101110011100100100001110000110110001100101101100011000001011110011111101010000011100011100110	1	0.0992	1	0:00:15.739439
145	1100010101100011011000011010101100000111101010101011111101110111001100111000010110010111000101000110	1	0.0686	1	0:00:15.995956
146	1011011001111111001011100000000111010111111111101010111100100110101011100111111000010111101011110110	1	0.0837	1	0:00:15.579769
147	1100000001010111010100101001010010111110011110000000100111100010010111011010111000000110000101101011	1	0.0563	1	0:00:15.373022
148	0110011101010111011111111010011100101011110100011010101110111111001010100111011011111001010001001001	1	0.0329	1	0:00:16.301369
149	1111111000000000001010111010010100011110010101111011000001010100110010100010111000000010010111100111	1	0.0532	1	0:00:16.444515
150	1011000101101010001011111011110111000011000010000010010001100000110110101111010010011110001100110101	1	0.00236	1	0:00:16.064746
151	1101111100110111011101101100101110100010110110111111011111101000110100010101010010101100101000110111	1	0.00928	1	0:00:16.052051
152	1110000110000010000110000110011101011001001110000000100100001100111011001010111001111011011100001100	1	0.076	1	0:00:16.784332
153	1101010101101010100011001011111100101011000101010110100111110000001011011101100100000011010100111010	1	0.0931	1	0:00:16.627563
154	1001001011011010101001001100111111111110010010011001100011100110110000001111101110000101100010001010	1	0.0278	1	0:00:16.125702
155	1010100000000101001110101111100000110010100100011000000010010110010101100011011101001000000011000111	1	0.0802	1	0:00:15.943561
156	1001110010000000111000101111010110101010000100101110000101001010000110101000100101010100101011011111	1	0.0762	1	0:00:15.897911
157	1011101111100000001011010110000100110111000100010001111100110110110010111010000101011000010001101100	1	0.0945	1	0:00:15.901577
158	0000111111101010111001111000001101100001001110111010111001011011011111101100100101100010000010110001	1	0.0921	1	0:00:15.954148
159	1010110010011111001001100000001100111010011111010110000001101010010010101000111100010000110010011000	1	0.0801	1	0:00:16.568323
160	1000010101110010000000010010101111011000001011100010011010011110111110110111110101111100000011000001	1	0.067	1	0:00:15.935633
161	0000011000110000110011001001100000010000101110111110001111101111111010010001100010111110010011011101	1	0.0219	1	0:00:15.769841
162	1111000111001011110011000111110111000000101100000111100010110001010100110001111011011011001011010001	1	0.0831	1	0:00:15.652490
163	1000110011001000100100001010111011010001000110110110000111100011001001101000011110101100000110110111	1	0.0635	1	0:00:16.734796
164	0101010010011111000010110000000110111111001001111010010001111111000100000011111010010100100010110011	1	0.0607	1	0:00:16.926049
165	1001100000101100100011010100011000011110000000111110111010000101111100001000110111011011010100100000	1	0.0801	1	0:00:16.013379
166	0010001001011101011001010011110110011000100000001010100010111010001110000100000011110111010110110100	1	0.0751	1	0:00:15.484646
167	1101111110111001011110011011101101000110110010010110000000011001001011111101110010000011011110001101	1	0.0812	1	0:00:16.789841
168	0101000110000110101001011110110010000111101111010001110001011101101101101100001111111110011110001101	1	0.0328	1	0:00:15.859824
169	1001010101111010000000010111110001110110011010011011101101100001011000110010111010011001010110110101	1	0.0588	1	0:00:16.511441
170	1110011110110100010101011100110010001110010111011100001011000000110011110111110001011100111111010100	1	0.0156	1	0:00:16.208578
171	1000110001011100111110011010110110101010001010100110010111100000011101001010101111001100110100100100	1	0.057	1	0:00:17.283335
172	0011101000000010000000011100110111110011111000000000010000100101100011110011001101101111101010110111	1	0.0636	1	0:00:16.169961
173	0110001000100110001011101111110000100100010001000100010010101110000111101100000100100001001101111110	1	0.0922	1	0:00:17.060460
174	0110001110010110100111000010111110011010100101000111111110000011111010000001100111001010011001100100	1	0.0858	1	0:00:17.469232
175	0001000011110100001111110101110101101011110011011011100111000010100100111100101001001110111101111001	1	0.0707	1	0:00:17.454523
176	0100101111110111110110010010101010111111011101101111010111000010100001000011000100011100101000101110	1	0.0115	1	0:00:17.558875
177	1011001111101101001011100101001011010101111011011000101000101101111110110101110110100011100111111000	1	0.0558	1	0:00:16.756602
178	1011110010000001000001001110111000101001001011000101011011010010100011101001111011000101001111011011	1	0.0568	1	0:00:17.417015
179	1111110101110000101111101000100010100010001111110101011011110100110010010111100000111101001101000001	1	0.0875	1	0:00:17.046697
180	1011110011100000111100101111001001001011001001000011011010110110101111010011111010101110001000101010	1	0.0669	1	0:00:17.606500
181	1010111111100000110011101111011000100000011100011010000101110100001100001100100101000011001101100110	1	0.0508	1	0:00:17.561459
182	0010110110100100100010110001100100110100001111001011111010000111100101010111000000000100110100111000	1	0.045	1	0:00:17.210936
183	1100101010101101100011000000000101100000110001000110110000101101101000110000001111001010001000001110	1	0.0679	1	0:00:17.330744
184	1000010101111010010100001011101001110011110100101011011001011101010100010001001111000000111111111000	1	0.0768	1	0:00:17.523445
185	0101101001110100100000010001110110100011001001110011011011011011000110000001010101010101111000111100	1	0.0762	1	0:00:17.635366
186	0101001010101100001101010110111101010100000010001101010001010011110111000001101001100010000000000001	1	0.0886	1	0:00:17.238699
187	0001000001011001010000110000011011000101101110111011100111111110111111111100010011110011000101001100	1	0.0669	1	0:00:17.720319
188	0100011101000010110110000000001111001010111110000011111011010100111000110011011011000100111011001101	1	0.0382	1	0:00:17.298565
189	1100011010000000011001000111110110011001001000011100010110111110101001001011000001001010000010000100	1	0.0828	1	0:00:17.858082
190	1000111011000000000101011101100110101000000010010011111010101000000001011111011101010001110001100010	1	0.0598	1	0:00:17.056425
191	1011001010000110011100000111000100110100101010001001000110001101000101010011001011111011111010011010	1	0.0693	1	0:00:17.331136
192	1011011100111110011101100110011100010011001100010011101110101100000011010001100001000011001110100011	1	0.0775	1	0:00:17.708209
193	1010011101010110010000110111100010110110011000010010011100101111110010110100001000111110101110111010	1	0.0493	1	0:00:17.168056
194	0010011110001111110100001001010111111101000110010000100111000001011001110101111011111010000011100110	1	0.0711	1	0:00:17.754452
195	1000011001101100100101001001111111000010000000101100100111111100001011100101001110001100010010001011	1	0.0512	1	0:00:17.776793
196	1011101011001010111100110101100111110111111111101100010100111100000101000011011001111101101001000101	1	0.0525	1	0:00:16.661391
197	1001101011101100110011001010010101100001101000100110000001110011011101111111011100000111101101011101	1	0.0341	1	0:00:17.418665
198	1101101110001101000010000111000101010010111101110101111101110110000010000100011001110111111011000010	1	0.0809	1	0:00:17.289348
199	0101111111000001100111011111010101001100100001010001011101100011100001111011101100000110001110111110	1	0.0602	1	0:00:17.190309
200	1111011100100101111010110110000001000101000010111111101111100101010111000001100010001000011100011111	1	0.0532	1	0:00:17.373075
201	1111000101000110110010110011100010010000101100010001000110101010010101101010010000110110001001101011	1	0.0202	1	0:00:17.159656
202	0000100010001011000010011001110110111110111111001101010110011010011000110111111110111010111111101001	1	0.0893	1	0:00:16.824135
203	1010100100101011001010110110110000110010111100010001001101000100100001111100001100100011000010100000	1	0.0678	1	0:00:17.489828
204	0100111100111010100111000000001111010110101011010011001010111011000011111110110010000100001100010110	1	0.0593	1	0:00:17.802788
205	0100010001001111110001000111110010010110111011110010110100101010000101011110010111011100101000001101	1	0.0855	1	0:00:17.687469
206	1110001010100111010101011111111010111111000100111101100110010010111011001111111010011101001110101110	1	0.0144	1	0:00:18.125614
207	1000101000100111011001100100110000100110101111000011011100101000011111110000000100001100001010000011	1	0.0347	1	0:00:17.555638
208	0000100101011010000100001011100010010110101000001110011100011000110011111000000110100111101000100010	1	0.0566	1	0:00:17.239176
209	0011110110011001100101101011110000000000101101000010011000101110111011001111111101101111101011101011	-1	0.0	-1	0:00:17.447195
210	1001101100101101110001110001101010000111001010111001101011011100110101010001010011000111111001000101	1	0.0624	1	0:00:17.967957
211	0010010000101110010011000000111001101111001100011010111111010000101011010101010100010001100101011001	1	0.0728	1	0:00:17.457899
212	1110010110011001101111001100110000010010011001111110100000101011000000111011011010110000111001101101	1	0.0577	1	0:00:17.564295
213	1011001110011000101000011001110011001110011100101100000101100100110011110001000001000100111101000100	1	0.0665	1	0:00:17.888685
214	0111001111110011101010010011100111001111111010000000101001000100111100110101000100100011001110101010	1	0.0864	1	0:00:18.018456
215	0110110000000010001011111000110010101000111000100111010010011001000111000111111000111000110000000101	0	0.00523	0	0:00:17.727610
216	1011010011010101100111010110100011101111111010101000001111100011101010111001010110110011111111001000	1	0.0696	1	0:00:17.542070
217	0000010001010101010100011110100010110010111111011001101000111100011011100100010000000000100101111001	1	0.0719	1	0:00:17.050789
218	0000101010000100000000101001010001001011110011101000010001101010101110110110100110110100111001001100	1	0.0895	1	0:00:17.415462
219	0100110010111001111101111000000011100101010111111000111100110100111111100001110110110100100001100101	1	0.0175	1	0:00:17.758126
220	1000111110001100100101000000001001111101000111100010010101111010010101101100111110010011011111111011	1	0.0895	1	0:00:18.361854
221	1111100101101100001101011000111100010101100111101011001110100010000001010100011011101110001010110101	1	0.0382	1	0:00:17.454625
222	1100011010011111011100001011101010011111010000011010110010001101100100100000101111011011101001111011	1	0.044	1	0:00:17.331094
223	1010110000100110111001000110001001011101110000010010000010000011011111111010110000110011111100001101	1	0.0575	1	0:00:17.710752
224	1001110000000010100000101101100111101011111000111111100111000010100101001110101110011100111101101101	1	0.0539	1	0:00:17.660476
225	1111110111001110110011011101110011100100101010101011100011110000000111100010001111001100000000011111	1	0.0911	1	0:00:18.048278
226	0000111100111111001110000010110111010101011001111100000011101001101011011101011101111111011100001001	1	0.0135	1	0:00:18.317720
227	0111111010001001000001000110001111011001000110110101001000001011111001011110011001110010111100001001	1	0.0485	1	0:00:17.706102
228	1111001100000101010101000110110011111110000110010100100001111101100101010010101001010001001010011101	1	0.0716	1	0:00:17.960792
229	1000010011010011110111011000110101111110010011111100011011110000011000111010111010001000000110111100	1	0.0902	1	0:00:17.727451
230	1010001111001000011111110110100111011110100010100011000010111110001000011011110100000001010011000100	1	0.086	1	0:00:17.578734
231	0011101011111010001111100101100000000100010001011100101011111000111111010111100001001000001110101010	1	0.0792	1	0:00:17.412108
232	0001111100101011000010111110010100100000110001010011011001001101001011111010000110011010001100111010	1	0.0713	1	0:00:16.906409
233	0111001111111010110001111111011010010110101101011110101011101011011000111101101101111000001001010000	1	0.0579	1	0:00:17.155225
234	1111011010000010011000011001010010100101000111010010011110100011011011100010111100010110001001111100	1	0.0686	1	0:00:17.338820
235	1000000111110011011100001001111111011001011101000101100011111011101010001111000101101101000000011100	1	0.0724	1	0:00:17.832587
236	0100110101010011101100000001001011011010111000011111001001001011010101001011101111010100000101010100	1	0.0588	1	0:00:16.899174
237	1111111010110111110111101011001010111100010011010110100110110101010001011100100111101010001110110101	1	0.0734	1	0:00:16.879726
238	0100101011001110101011111110011100101101010110101101100100001000011110011101101011001001011001011001	1	0.0282	1	0:00:15.944907
239	1100100000000101111111000110111111110000001101001000110100100000100001001110001001100100000110111011	1	0.0225	1	0:00:16.359122
240	1001100011100001101001110110001110101001101000000000010101011110000111100101010011100011101001111110	1	0.0639	1	0:00:15.892276
241	1000111110110011101110101011101100011111010011111011010010010101100110101111101010110000010000000001	1	0.0806	1	0:00:16.507137
242	1011001010010100001100101110111101010110011111001110001011000101110101001101010001110011110110001111	1	0.0704	1	0:00:17.043896
243	1001001000011101111001100001001101000110001001100110110110100110111011010111111010100010000010101100	1	0.069	1	0:00:16.629827
244	0000000111000110010110111000110011000110100001011010100001111111011111101000010001110010000001111001	1	0.0718	1	0:00:16.470996
245	1010110100111011100101001011010010110001011010011110011100101001011010111011101000111100101111010111	1	0.0725	1	0:00:16.838249
246	1110101111101110100001000000100101100100011100011100000000111011001000100101001101101001110011001010	1	0.0709	1	0:00:17.831135
247	1000010100001110010010111110100000011101101010100100000110010110111100011011100011011110000010101001	1	0.0681	1	0:00:17.431064
