idx	label	predict	radius	correct	time
0	1001110011101011111110010011010011100011111100010110100001110010001011110101110000110010000100101101	1	0.381	1	0:00:06.123872
1	0011111110001110001000001001110101010010110000100011010111011001010110000011001100101010100110110011	1	0.381	1	0:00:03.985772
2	1111001000000011010011101011110011111111110001101011110001011010011010010111001101101110101010010001	1	0.381	1	0:00:03.989667
3	1101001010001101100110101000111010110100100110001011100010101001011001100111011010000100000001110100	1	0.381	1	0:00:03.968982
4	1100011110110010000101000110010000111101011001000000001101100111111010001001100100101110011000100010	1	0.381	1	0:00:03.974716
5	0101011100100100111011101000110000111101111001000011110111010110110101101101100101000101110010011001	1	0.381	1	0:00:03.988556
6	0100101001100001101011111001011011001000010001010001001001001111010010111011100000100010100111100111	1	0.381	1	0:00:04.007536
7	1011111010101111011010000001010011111011001101011101111101101000110110110111100010000010010100101110	1	0.381	1	0:00:04.039162
8	0111100001111101001111001110101100101110100000111100001000101100011001011001110111100110110001111110	1	0.34	1	0:00:03.996806
9	1110110011010111011011111011110100100001101011110000011101110100001010010111000101101101011011000001	1	0.381	1	0:00:03.970343
10	1111100100001000000001011110101111000001010000110010001111001001011011110001001000111101011010110100	1	0.381	1	0:00:03.985963
11	0110000000100001010001001100111011010001110101001111100101011001001001000111111110110010111001100010	1	0.346	1	0:00:03.979340
12	1000110000010101101000111100111101011001000110110001001001001100000000011000101111011000000000000001	1	0.289	1	0:00:03.971189
13	0101100010110100101111000111111110111000001100001101110010110110111100110000011110011110001010110010	0	0.0208	0	0:00:03.976894
14	1000001011101101101111110111000010101101011111110011100110101110100010001000001101011010101110100000	1	0.047	1	0:00:03.976289
15	1101110110110111111100101001010001001110111000111111101101111111101110101100011111110110011110101101	1	0.189	1	0:00:03.972740
16	0000111000110111001010001010111110110000011001010001001001100001100100110010111100101110100000001100	1	0.381	1	0:00:03.983287
17	0000111000111001111101010111001110111010001000110100011001000110101100111101100100110111000100001101	1	0.381	1	0:00:03.990100
18	1011011110111000110101100100000110101001111101101000000101001001110011100000101100010111001010100111	1	0.381	1	0:00:03.977481
19	1010000110010110010010000101110000110001011111101001001011101101010111000000011011000110101010010010	1	0.381	1	0:00:03.985032
20	1111111110001011110110000011011010000000110001001011101000101010110011111000100010001001000001000001	1	0.381	1	0:00:03.980744
21	1011010111110011000111011101010010010000001101111111101101110101010100001100000110001001110100000100	1	0.235	1	0:00:03.982838
22	0100110100111010110100011100110010100011100000111110100010001110011010111001011101101001000110100111	1	0.381	1	0:00:03.979844
23	1010111010010010000101100000000101101111010111011001101110111010000111001011000111110111101001001000	1	0.381	1	0:00:03.984501
24	1010101110010011000111001100111100001011110011000100000001010000010101100011010000001011010111000100	1	0.381	1	0:00:03.984401
25	0110110111011101110001011000100100001000110110000010100110101001101010010000001011001101011111110001	1	0.381	1	0:00:03.986004
26	1000000101000000010110111011111001100001011101110101000011011101101110101011001011011100100101110111	1	0.381	1	0:00:03.997853
27	1110101011100110100011110111001011111111010111111110110010100101001010100001001111000010100011110110	1	0.381	1	0:00:03.994415
28	1001111111111000000111000000111010100111111111011000111010100001101110010100101010110000110010001110	1	0.381	1	0:00:03.993852
29	0000011000000000000100000001111000011000010010000001001110101111000110010001010010001011111000111101	1	0.381	1	0:00:03.987401
30	1001100101100010000001101100000111110111011111101100111110110010101101000101100000010010101110110011	1	0.381	1	0:00:03.993337
31	0101010011101100100000011011110101010010101101010100111110011001100100111101011010000010100101111110	1	0.381	1	0:00:03.985938
32	0010010100011010111111010111001011000110111100100101100011101001000001011110111011111110101010101010	1	0.381	1	0:00:04.003399
33	0101001000011101100011001001101110011000111011111000000011111110001000101111000001100111010000110001	1	0.381	1	0:00:03.990624
34	1010001000001111011101000000101000001111001000111111001111111101111010010000000010011110000010011101	1	0.182	1	0:00:04.002226
35	1110010001111110011101000111001000101001111011001100110110100110111110110100001101011010010010101111	1	0.381	1	0:00:03.984769
36	1101000001010010000111001111100011111100101011100101000110110110101100011110101001010010111001101011	1	0.381	1	0:00:03.988183
37	1001000100011100111101011110011011110110010100101101110010010011000011100101101111111001100011100000	1	0.381	1	0:00:03.988474
38	1001101000000101001010011000011011110001000110000001101000110100111010011100000101111100011110001111	1	0.381	1	0:00:03.987118
39	0110100000011010110111001011101111110110001111011111110101011110110001111001001011101111001011010000	1	0.381	1	0:00:04.008146
