idx	label	predict	radius	correct	time
0	1001110011101011111110010011010011100011111100010110100001110010001011110101110000110010000100101101	1	0.0595	1	0:00:21.307690
1	0111001011111010110101101110011001001111101111101010101111111110110000000000000101000111110111001011	1	0.0743	1	0:00:18.567021
2	1110011111110111101100111101101011010011111010101111111000011101111101100100000001100111110001010010	1	0.0684	1	0:00:20.127216
3	1010111110001101101001001001010011001111011110010011010010000011101110110000011000000110100110000110	1	0.0552	1	0:00:19.129821
4	1101011101001001000100100001110010010101111100000111011101111101011010101100010111101100010010100110	1	0.0822	1	0:00:20.327528
5	0100001011000010000101110111100011101011010010000010101011111001101000010100111110101100101101000101	1	0.0592	1	0:00:19.190048
6	1000110101000001110001001000010011101010111111111011101100101111000010101111010001010000000100100100	1	0.077	1	0:00:19.169304
7	1010111010100101101010100100100101110001010100001010011000000001001011010101001011110101100001000111	1	0.0847	1	0:00:19.871182
8	1101010110111001100011110010011110000001101010010000011000010101101001111100010011100110110001010111	1	0.0656	1	0:00:19.982257
9	1010100000011110101101111001001110100010110000101011000101111111011111101111110010001001110111011111	1	0.0636	1	0:00:18.557670
10	1100011101111110100100111001111001010110001100011000011111010101110010010110101000100100011001100000	1	0.0781	1	0:00:19.612764
11	1100111011111011001010101111101110001000010111000100011101111101000101111011101000000111101100101010	1	0.0728	1	0:00:27.388916
12	0011000010000011001000001101101010001011011111110110110000000101000111011111010010110010101001110010	1	0.028	1	0:00:19.779245
13	1011001011001110011100011111110011001000100111010110010100111110000001111001100001101000011100101100	1	0.0167	1	0:00:19.022749
14	1111100100110011100000010000100111101011110011000111001110010110111101011110111110110101101100001011	1	0.0101	1	0:00:19.582452
15	1000010001101001101101110101000011100100001101010111100000101110000111111101010100010100101010000101	1	0.0574	1	0:00:19.401811
16	1001110000000100011000001000101000110000111110001111000001011010000111010010100101010110011110110110	1	0.076	1	0:00:20.100182
17	1010001010101110101110001110100011010110010001101010101111000001010111110000011000110001010111101101	1	0.0615	1	0:00:24.472328
18	1011001111111001101100100010101010110101101001010010111111001011011011110000011000110001101011000010	1	0.0605	1	0:00:19.322181
19	0101101000011101110111111011111001010000110100011101100100011011111111010010001101010001101010110100	1	0.0689	1	0:00:21.020353
20	1001111001001011101001111000111101110010001100111011110000001011101010100110101001110101100010010100	1	0.0574	1	0:00:23.358615
21	0001101110110000010010011101001001100101011010001110010001001100111011011001110011011100001001101011	1	0.036	1	0:00:19.517311
22	1000010001001111100100011011110001101100011000010101011111001011100110111010101000100101110010010000	1	0.0413	1	0:00:19.779318
23	0101110101110010110000000111010111111000100101010100001110011000000010001100011101101110110011100111	1	0.0777	1	0:00:20.012444
24	0000000000100111111010111000111011101100001010101001111110110100001111000010000100010001000101010100	1	0.059	1	0:00:17.814662
25	1001110011010111010010010110100100100110010000100111111010101000010000010110010110111111110111010000	1	0.0811	1	0:00:18.952917
26	1000011100011111001110000101010110100001000000011101110100110100100010000110111100000010111001010111	1	0.0564	1	0:00:18.734711
27	0001100011110110001001001101100110100000101000100101001011000001110110101011101111010111110100010110	1	0.0719	1	0:00:18.217018
28	1000001110011111011101011010101000011010010111010110111111100110101110101011101101111100001100110101	1	0.0588	1	0:00:18.626955
29	1110111101101001110000010100111101001001111100110010010111000010000000110010100001101101001111010011	1	0.0761	1	0:00:18.649025
30	1010110111111001000001111110011000110100111100000101100101011001110000101110001110100011110110010101	1	0.0734	1	0:00:18.909415
31	0010100001100111100111111110001010101011001001011111001101000011001011000001011000010111101101001011	1	0.0671	1	0:00:25.156527
32	1001000000011000101101110110000010001001111110000011010011111111100011000110111100100111101001110100	1	0.0793	1	0:00:18.691813
33	0100101110001010001001101101110100111111011111101110011011101011010010101000101011111001111100000000	1	0.0686	1	0:00:18.232974
34	1000100000101111010100000101100110111100000011001001001101110000000100001001000111010110110000100010	1	0.0476	1	0:00:18.507611
35	1111100011110100000001000101100100100000000100111100101110000101101100011110100010100011000000011001	1	0.066	1	0:00:18.405139
36	1100111010011000110111011010100001000101011010111000011111100100101000110100100110001110111101101111	1	0.075	1	0:00:18.946226
37	0001101001100100010110011111001011011010010101111100110000100100110101111100111001100100001110010101	1	0.0638	1	0:00:18.560056
38	1100001001001111100011101100100110001010001001000111000010000011110100111101110001111110011011110010	1	0.0641	1	0:00:18.910603
39	0011100000111110000010001111111000100011111111000110010111101011010010100101000111011100010000111001	1	0.0482	1	0:00:18.492991
40	0110101010110001000100100100111000000001100000010010011011000111011000110111010011010111010100011110	1	0.069	1	0:00:18.739788
41	0010101110011000100001000011110001111100111000000110000111111110111101011101010001100111010000110111	1	0.0648	1	0:00:19.218802
42	0111111110100100101011010000010001100010011000001010101101011010100011011011001101001011010011010000	1	0.0531	1	0:00:18.791885
43	1101010000000010011000001101110001001010111001001101110101100000001111101010000011111000010110101000	1	0.0664	1	0:00:19.149868
44	0111010010000011111010011101001001101011011000001110001110000101001001100111001011110011011101111001	1	0.034	1	0:00:18.699497
45	1111100111110011000000001111100110111011010101110100010000100001111100101000001000011010011011010000	1	0.0798	1	0:00:18.214227
46	1111100111110011011010110111100000110101000111001011111001010001011111101101011101010101001101101011	1	0.0316	1	0:00:18.674275
